B73_Cluster	B73_Genes	PH207_Cluster	PH207_Genes
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Cluster_0250	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228
Cluster_0033	Zm00001d002207,Zm00001d002220,Zm00001d002227	NA	Zm00008a006219
Cluster_0033	Zm00001d002207,Zm00001d002220,Zm00001d002227	NA	Zm00008a006219
Cluster_0033	Zm00001d002207,Zm00001d002220,Zm00001d002227	NA	Zm00008a006219
Cluster_0035	Zm00001d002260,Zm00001d002261	NA	Zm00008a006249
Cluster_0035	Zm00001d002260,Zm00001d002261	NA	Zm00008a006249
Cluster_0036	Zm00001d002349,Zm00001d002350,Zm00001d002351	Cluster_0253	Zm00008a006308,Zm00008a006313,Zm00008a006315
Cluster_0036	Zm00001d002349,Zm00001d002350,Zm00001d002351	Cluster_0253	Zm00008a006308,Zm00008a006313,Zm00008a006315
Cluster_0036	Zm00001d002349,Zm00001d002350,Zm00001d002351	Cluster_0253	Zm00008a006308,Zm00008a006313,Zm00008a006315
Cluster_0037	Zm00001d002393,Zm00001d002394	Cluster_0254	Zm00008a006352,Zm00008a006353
Cluster_0037	Zm00001d002393,Zm00001d002394	Cluster_0254	Zm00008a006352,Zm00008a006353
Cluster_0040	Zm00001d002399,Zm00001d002402	NA	Zm00008a006356
Cluster_0040	Zm00001d002399,Zm00001d002402	NA	Zm00008a006356
Cluster_0041	Zm00001d002410,Zm00001d002412	NA	Zm00008a006365
Cluster_0041	Zm00001d002410,Zm00001d002412	Cluster_0255	Zm00008a006362,Zm00008a006363,Zm00008a006364
Cluster_0042	Zm00001d002434,Zm00001d002435,Zm00001d002436	Cluster_0256	Zm00008a006383,Zm00008a006384,Zm00008a006385
Cluster_0042	Zm00001d002434,Zm00001d002435,Zm00001d002436	Cluster_0256	Zm00008a006383,Zm00008a006384,Zm00008a006385
Cluster_0042	Zm00001d002434,Zm00001d002435,Zm00001d002436	Cluster_0256	Zm00008a006383,Zm00008a006384,Zm00008a006385
Cluster_0043	Zm00001d002446,Zm00001d002447	NA	Zm00008a006392
Cluster_0043	Zm00001d002446,Zm00001d002447	NA	Zm00008a006393
Cluster_0044	Zm00001d002473,Zm00001d002474	Cluster_0257	Zm00008a006406,Zm00008a006419
Cluster_0044	Zm00001d002473,Zm00001d002474	Cluster_0257	Zm00008a006406,Zm00008a006419
Cluster_0045	Zm00001d002514,Zm00001d002515	Cluster_0258	Zm00008a006450,Zm00008a006451
Cluster_0045	Zm00001d002514,Zm00001d002515	Cluster_0258	Zm00008a006450,Zm00008a006451
Cluster_0046	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	Cluster_0259	Zm00008a006453,Zm00008a006454
Cluster_0046	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	Cluster_0259	Zm00008a006453,Zm00008a006454
Cluster_0046	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	Cluster_0259	Zm00008a006453,Zm00008a006454
Cluster_0046	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	Cluster_0259	Zm00008a006453,Zm00008a006454
Cluster_0047	Zm00001d002543,Zm00001d002546	Cluster_0260	Zm00008a006471,Zm00008a006474
Cluster_0047	Zm00001d002543,Zm00001d002546	Cluster_0260	Zm00008a006471,Zm00008a006474
Cluster_0048	Zm00001d002556,Zm00001d002557	NA	Zm00008a006480
Cluster_0049	Zm00001d002568,Zm00001d002576	NA	Zm00008a006486
Cluster_0050	Zm00001d002570,Zm00001d002572	Cluster_0261	Zm00008a006488,Zm00008a006489
Cluster_0050	Zm00001d002570,Zm00001d002572	Cluster_0261	Zm00008a006488,Zm00008a006489
Cluster_0051	Zm00001d002618,Zm00001d002620	Cluster_0262	Zm00008a006524,Zm00008a006525
Cluster_0051	Zm00001d002618,Zm00001d002620	Cluster_0262	Zm00008a006524,Zm00008a006525
Cluster_0053	Zm00001d002626,Zm00001d002629	NA	Zm00008a040372
Cluster_0054	Zm00001d002698,Zm00001d002699	Cluster_0263	Zm00008a006569,Zm00008a006571
Cluster_0054	Zm00001d002698,Zm00001d002699	Cluster_0263	Zm00008a006569,Zm00008a006571
Cluster_0054	Zm00001d002698,Zm00001d002699	Cluster_0263	Zm00008a006569,Zm00008a006571
Cluster_0055	Zm00001d002705,Zm00001d002708	Cluster_0265	Zm00008a006579,Zm00008a006583
Cluster_0055	Zm00001d002705,Zm00001d002708	Cluster_0265	Zm00008a006579,Zm00008a006583
Cluster_0056	Zm00001d002727,Zm00001d002728,Zm00001d002729	Cluster_0266	Zm00008a006598,Zm00008a006599
Cluster_0056	Zm00001d002727,Zm00001d002728,Zm00001d002729	Cluster_0266	Zm00008a006598,Zm00008a006599
Cluster_0056	Zm00001d002727,Zm00001d002728,Zm00001d002729	Cluster_0266	Zm00008a006598,Zm00008a006599
Cluster_0057	Zm00001d002744,Zm00001d002747,Zm00001d002748	NA	Zm00008a006614
Cluster_0057	Zm00001d002744,Zm00001d002747,Zm00001d002748	NA	Zm00008a006614
Cluster_0057	Zm00001d002744,Zm00001d002747,Zm00001d002748	NA	Zm00008a006614
Cluster_0058	Zm00001d002760,Zm00001d002761,Zm00001d002762	NA	Zm00008a006630
Cluster_0058	Zm00001d002760,Zm00001d002761,Zm00001d002762	NA	Zm00008a006630
Cluster_0059	Zm00001d002772,Zm00001d002773	Cluster_0268	Zm00008a006636,Zm00008a006637
Cluster_0059	Zm00001d002772,Zm00001d002773	Cluster_0268	Zm00008a006636,Zm00008a006637
Cluster_0060	Zm00001d002812,Zm00001d002814	NA	Zm00008a006666
Cluster_0060	Zm00001d002812,Zm00001d002814	NA	Zm00008a006666
Cluster_0060	Zm00001d002812,Zm00001d002814	NA	Zm00008a006667
Cluster_0061	Zm00001d002847,Zm00001d002848	Cluster_0270	Zm00008a006699,Zm00008a006701
Cluster_0061	Zm00001d002847,Zm00001d002848	Cluster_0270	Zm00008a006699,Zm00008a006701
Cluster_0062	Zm00001d002886,Zm00001d002887	NA	Zm00008a006735
Cluster_0062	Zm00001d002886,Zm00001d002887	NA	Zm00008a006735
Cluster_0063	Zm00001d002888,Zm00001d002893	NA	Zm00008a006736
Cluster_0063	Zm00001d002888,Zm00001d002893	NA	Zm00008a006736
Cluster_0063	Zm00001d002888,Zm00001d002893	NA	Zm00008a006740
Cluster_0064	Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	NA	Zm00008a006743
Cluster_0064	Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	NA	Zm00008a006743
Cluster_0064	Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	NA	Zm00008a006743
Cluster_0064	Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	NA	Zm00008a006743
Cluster_0064	Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	NA	Zm00008a006743
Cluster_0065	Zm00001d002907,Zm00001d002915	NA	Zm00008a006750
Cluster_0065	Zm00001d002907,Zm00001d002915	NA	Zm00008a006750
Cluster_0067	Zm00001d002958,Zm00001d002959	Cluster_0276	Zm00008a006809,Zm00008a006810
Cluster_0067	Zm00001d002958,Zm00001d002959	Cluster_0276	Zm00008a006809,Zm00008a006810
Cluster_0068	Zm00001d002972,Zm00001d002974	NA	Zm00008a006827
Cluster_0068	Zm00001d002972,Zm00001d002974	Cluster_0277	Zm00008a006824,Zm00008a006829
Cluster_0068	Zm00001d002972,Zm00001d002974	Cluster_0277	Zm00008a006824,Zm00008a006829
Cluster_0069	Zm00001d003015,Zm00001d003016	Cluster_0279	Zm00008a006866,Zm00008a006867
Cluster_0069	Zm00001d003015,Zm00001d003016	Cluster_0279	Zm00008a006866,Zm00008a006867
Cluster_0070	Zm00001d003019,Zm00001d003021,Zm00001d003023	NA	Zm00008a006912
Cluster_0070	Zm00001d003019,Zm00001d003021,Zm00001d003023	NA	Zm00008a006875
Cluster_0071	Zm00001d003020,Zm00001d003022,Zm00001d003024	NA	Zm00008a040289
Cluster_0072	Zm00001d003044,Zm00001d003045,Zm00001d003046	NA	Zm00008a006892
Cluster_0072	Zm00001d003044,Zm00001d003045,Zm00001d003046	Cluster_0280	Zm00008a006895,Zm00008a006896
Cluster_0072	Zm00001d003044,Zm00001d003045,Zm00001d003046	Cluster_0280	Zm00008a006895,Zm00008a006896
Cluster_0073	Zm00001d003058,Zm00001d003059	Cluster_0281	Zm00008a006904,Zm00008a006905
Cluster_0073	Zm00001d003058,Zm00001d003059	Cluster_0281	Zm00008a006904,Zm00008a006905
Cluster_0074	Zm00001d003066,Zm00001d003067	Cluster_0282	Zm00008a006908,Zm00008a006910
Cluster_0074	Zm00001d003066,Zm00001d003067	Cluster_0282	Zm00008a006908,Zm00008a006910
Cluster_0075	Zm00001d003069,Zm00001d003070	NA	Zm00008a006912
Cluster_0075	Zm00001d003069,Zm00001d003070	NA	Zm00008a006912
Cluster_0076	Zm00001d003140,Zm00001d003142,Zm00001d003144	Cluster_0283	Zm00008a006963,Zm00008a006964
Cluster_0076	Zm00001d003140,Zm00001d003142,Zm00001d003144	Cluster_0283	Zm00008a006963,Zm00008a006964
Cluster_0076	Zm00001d003140,Zm00001d003142,Zm00001d003144	Cluster_0283	Zm00008a006963,Zm00008a006964
Cluster_0077	Zm00001d003151,Zm00001d003155	NA	Zm00008a006970
Cluster_0077	Zm00001d003151,Zm00001d003155	NA	Zm00008a006970
Cluster_0078	Zm00001d003173,Zm00001d003174	NA	Zm00008a006982
Cluster_0078	Zm00001d003173,Zm00001d003174	NA	Zm00008a006982
Cluster_0079	Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	Cluster_0284	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997
Cluster_0079	Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	Cluster_0284	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997
Cluster_0079	Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	Cluster_0284	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997
Cluster_0079	Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	Cluster_0284	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997
Cluster_0079	Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	Cluster_0284	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997
Cluster_0080	Zm00001d003188,Zm00001d003190,Zm00001d003191	NA	Zm00008a006998
Cluster_0080	Zm00001d003188,Zm00001d003190,Zm00001d003191	NA	Zm00008a006998
Cluster_0080	Zm00001d003188,Zm00001d003190,Zm00001d003191	NA	Zm00008a006998
Cluster_0081	Zm00001d003217,Zm00001d003219	NA	Zm00008a007033
Cluster_0082	Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	NA	Zm00008a007031
Cluster_0082	Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	NA	Zm00008a007031
Cluster_0082	Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	NA	Zm00008a007033
Cluster_0082	Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	NA	Zm00008a007033
Cluster_0082	Zm00001d003232,Zm00001d003234,Zm00001d003235,Zm00001d003237,Zm00001d003240	NA	Zm00008a007033
Cluster_0083	Zm00001d003277,Zm00001d003280	NA	Zm00008a007073
Cluster_0084	Zm00001d003294,Zm00001d003295	NA	Zm00008a007088
Cluster_0084	Zm00001d003294,Zm00001d003295	NA	Zm00008a007088
Cluster_0085	Zm00001d003304,Zm00001d003306	NA	Zm00008a007096
Cluster_0085	Zm00001d003304,Zm00001d003306	NA	Zm00008a007096
Cluster_0086	Zm00001d003341,Zm00001d003342	NA	Zm00008a007120
Cluster_0086	Zm00001d003341,Zm00001d003342	NA	Zm00008a007121
Cluster_0086	Zm00001d003341,Zm00001d003342	NA	Zm00008a007122
Cluster_0087	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	NA	Zm00008a007131
Cluster_0087	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	NA	Zm00008a007131
Cluster_0087	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	NA	Zm00008a007131
Cluster_0087	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	NA	Zm00008a007131
Cluster_0087	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	NA	Zm00008a007131
Cluster_0087	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	Cluster_0285	Zm00008a007129,Zm00008a007132,Zm00008a007133,Zm00008a007134,Zm00008a007135
Cluster_0087	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	Cluster_0285	Zm00008a007129,Zm00008a007132,Zm00008a007133,Zm00008a007134,Zm00008a007135
Cluster_0088	Zm00001d003396,Zm00001d003397	NA	Zm00008a007157
Cluster_0088	Zm00001d003396,Zm00001d003397	NA	Zm00008a007157
Cluster_0089	Zm00001d003432,Zm00001d003434,Zm00001d003436	Cluster_0286	Zm00008a007188,Zm00008a007189,Zm00008a007191
Cluster_0089	Zm00001d003432,Zm00001d003434,Zm00001d003436	Cluster_0286	Zm00008a007188,Zm00008a007189,Zm00008a007191
Cluster_0089	Zm00001d003432,Zm00001d003434,Zm00001d003436	Cluster_0286	Zm00008a007188,Zm00008a007189,Zm00008a007191
Cluster_0090	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	NA	Zm00008a007212
Cluster_0090	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	Cluster_0287	Zm00008a007204,Zm00008a007205,Zm00008a007211
Cluster_0090	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	Cluster_0287	Zm00008a007204,Zm00008a007205,Zm00008a007211
Cluster_0090	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	Cluster_0287	Zm00008a007204,Zm00008a007205,Zm00008a007211
Cluster_0090	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	Cluster_0287	Zm00008a007204,Zm00008a007205,Zm00008a007211
Cluster_0091	Zm00001d003482,Zm00001d003485	NA	Zm00008a007225
Cluster_0092	Zm00001d003483,Zm00001d003488	Cluster_0288	Zm00008a007224,Zm00008a007226
Cluster_0092	Zm00001d003483,Zm00001d003488	Cluster_0288	Zm00008a007224,Zm00008a007226
Cluster_0093	Zm00001d003497,Zm00001d003499	NA	Zm00008a007231
Cluster_0093	Zm00001d003497,Zm00001d003499	NA	Zm00008a007231
Cluster_0094	Zm00001d003501,Zm00001d003504	Cluster_0289	Zm00008a007233,Zm00008a007235
Cluster_0094	Zm00001d003501,Zm00001d003504	Cluster_0289	Zm00008a007233,Zm00008a007235
Cluster_0095	Zm00001d003524,Zm00001d003525	Cluster_0291	Zm00008a007253,Zm00008a007255
Cluster_0095	Zm00001d003524,Zm00001d003525	Cluster_0291	Zm00008a007253,Zm00008a007255
Cluster_0096	Zm00001d003566,Zm00001d003567	Cluster_0292	Zm00008a007281,Zm00008a007282
Cluster_0096	Zm00001d003566,Zm00001d003567	Cluster_0292	Zm00008a007281,Zm00008a007282
Cluster_0097	Zm00001d003605,Zm00001d003606,Zm00001d003607	Cluster_0294	Zm00008a007314,Zm00008a007315
Cluster_0097	Zm00001d003605,Zm00001d003606,Zm00001d003607	Cluster_0294	Zm00008a007314,Zm00008a007315
Cluster_0098	Zm00001d003661,Zm00001d003662	NA	Zm00008a007359
Cluster_0098	Zm00001d003661,Zm00001d003662	NA	Zm00008a007359
Cluster_0099	Zm00001d003680,Zm00001d003683	Cluster_0295	Zm00008a007374,Zm00008a007375
Cluster_0099	Zm00001d003680,Zm00001d003683	Cluster_0295	Zm00008a007374,Zm00008a007375
Cluster_0099	Zm00001d003680,Zm00001d003683	Cluster_0295	Zm00008a007374,Zm00008a007375
Cluster_0100	Zm00001d003695,Zm00001d003696,Zm00001d003699,Zm00001d003701	Cluster_0296	Zm00008a007380,Zm00008a007381,Zm00008a007382,Zm00008a007383
Cluster_0100	Zm00001d003695,Zm00001d003696,Zm00001d003699,Zm00001d003701	Cluster_0296	Zm00008a007380,Zm00008a007381,Zm00008a007382,Zm00008a007383
Cluster_0100	Zm00001d003695,Zm00001d003696,Zm00001d003699,Zm00001d003701	Cluster_0296	Zm00008a007380,Zm00008a007381,Zm00008a007382,Zm00008a007383
Cluster_0100	Zm00001d003695,Zm00001d003696,Zm00001d003699,Zm00001d003701	Cluster_0296	Zm00008a007380,Zm00008a007381,Zm00008a007382,Zm00008a007383
Cluster_0101	Zm00001d003719,Zm00001d003722	Cluster_0297	Zm00008a007400,Zm00008a007401
Cluster_0101	Zm00001d003719,Zm00001d003722	Cluster_0297	Zm00008a007400,Zm00008a007401
Cluster_0102	Zm00001d003757,Zm00001d003760	Cluster_0300	Zm00008a007422,Zm00008a007423
Cluster_0103	Zm00001d003782,Zm00001d003783	NA	Zm00008a007446
Cluster_0103	Zm00001d003782,Zm00001d003783	NA	Zm00008a007446
Cluster_0104	Zm00001d003786,Zm00001d003791,Zm00001d003794	NA	Zm00008a007448
Cluster_0104	Zm00001d003786,Zm00001d003791,Zm00001d003794	NA	Zm00008a007453
Cluster_0104	Zm00001d003786,Zm00001d003791,Zm00001d003794	NA	Zm00008a007453
Cluster_0105	Zm00001d003850,Zm00001d003852	NA	Zm00008a007518
Cluster_0106	Zm00001d003859,Zm00001d003861	Cluster_0303	Zm00008a007524,Zm00008a007526
Cluster_0106	Zm00001d003859,Zm00001d003861	Cluster_0303	Zm00008a007524,Zm00008a007526
Cluster_0107	Zm00001d003866,Zm00001d003867	NA	Zm00008a007531
Cluster_0107	Zm00001d003866,Zm00001d003867	NA	Zm00008a007531
Cluster_0108	Zm00001d003939,Zm00001d003941	Cluster_0305	Zm00008a007596,Zm00008a007598
Cluster_0108	Zm00001d003939,Zm00001d003941	Cluster_0305	Zm00008a007596,Zm00008a007598
Cluster_0108	Zm00001d003939,Zm00001d003941	Cluster_0305	Zm00008a007596,Zm00008a007598
Cluster_0109	Zm00001d003949,Zm00001d003950,Zm00001d003954	Cluster_0306	Zm00008a007602,Zm00008a007603,Zm00008a007609
Cluster_0109	Zm00001d003949,Zm00001d003950,Zm00001d003954	Cluster_0306	Zm00008a007602,Zm00008a007603,Zm00008a007609
Cluster_0109	Zm00001d003949,Zm00001d003950,Zm00001d003954	Cluster_0306	Zm00008a007602,Zm00008a007603,Zm00008a007609
Cluster_0109	Zm00001d003949,Zm00001d003950,Zm00001d003954	Cluster_0306	Zm00008a007602,Zm00008a007603,Zm00008a007609
Cluster_0110	Zm00001d003961,Zm00001d003962	Cluster_0307	Zm00008a007612,Zm00008a007613
Cluster_0110	Zm00001d003961,Zm00001d003962	Cluster_0307	Zm00008a007612,Zm00008a007613
Cluster_0111	Zm00001d004025,Zm00001d004033	Cluster_0309	Zm00008a007650,Zm00008a007657
Cluster_0111	Zm00001d004025,Zm00001d004033	Cluster_0309	Zm00008a007650,Zm00008a007657
Cluster_0113	Zm00001d004230,Zm00001d004234	NA	Zm00008a007790
Cluster_0113	Zm00001d004230,Zm00001d004234	Cluster_0313	Zm00008a007791,Zm00008a007793
Cluster_0113	Zm00001d004230,Zm00001d004234	Cluster_0313	Zm00008a007791,Zm00008a007793
Cluster_0114	Zm00001d004231,Zm00001d004232	NA	Zm00008a007792
Cluster_0114	Zm00001d004231,Zm00001d004232	NA	Zm00008a007792
Cluster_0115	Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	Cluster_0315	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837
Cluster_0115	Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	Cluster_0315	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837
Cluster_0115	Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	Cluster_0315	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837
Cluster_0115	Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	Cluster_0315	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837
Cluster_0115	Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	Cluster_0315	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837
Cluster_0116	Zm00001d004322,Zm00001d004326	NA	Zm00008a007843
Cluster_0116	Zm00001d004322,Zm00001d004326	NA	Zm00008a007844
Cluster_0118	Zm00001d004344,Zm00001d004346	Cluster_0316	Zm00008a007853,Zm00008a007854
Cluster_0118	Zm00001d004344,Zm00001d004346	Cluster_0316	Zm00008a007853,Zm00008a007854
Cluster_0119	Zm00001d004355,Zm00001d004364,Zm00001d004371	NA	Zm00008a007869
Cluster_0119	Zm00001d004355,Zm00001d004364,Zm00001d004371	Cluster_0317	Zm00008a007860,Zm00008a007870,Zm00008a007875
Cluster_0119	Zm00001d004355,Zm00001d004364,Zm00001d004371	Cluster_0317	Zm00008a007860,Zm00008a007870,Zm00008a007875
Cluster_0119	Zm00001d004355,Zm00001d004364,Zm00001d004371	Cluster_0317	Zm00008a007860,Zm00008a007870,Zm00008a007875
Cluster_0119	Zm00001d004355,Zm00001d004364,Zm00001d004371	Cluster_0317	Zm00008a007860,Zm00008a007870,Zm00008a007875
Cluster_0120	Zm00001d004387,Zm00001d004389	Cluster_0319	Zm00008a007885,Zm00008a007886
Cluster_0120	Zm00001d004387,Zm00001d004389	Cluster_0319	Zm00008a007885,Zm00008a007886
Cluster_0121	Zm00001d004414,Zm00001d004417	Cluster_0320	Zm00008a007900,Zm00008a007904
Cluster_0121	Zm00001d004414,Zm00001d004417	Cluster_0320	Zm00008a007900,Zm00008a007904
Cluster_0122	Zm00001d004415,Zm00001d004418	NA	Zm00008a007901
Cluster_0123	Zm00001d004423,Zm00001d004424	Cluster_0321	Zm00008a007906,Zm00008a007907
Cluster_0123	Zm00001d004423,Zm00001d004424	Cluster_0321	Zm00008a007906,Zm00008a007907
Cluster_0123	Zm00001d004423,Zm00001d004424	Cluster_0321	Zm00008a007906,Zm00008a007907
Cluster_0124	Zm00001d004435,Zm00001d004436	Cluster_0322	Zm00008a007913,Zm00008a007914
Cluster_0124	Zm00001d004435,Zm00001d004436	Cluster_0322	Zm00008a007913,Zm00008a007914
Cluster_0125	Zm00001d004491,Zm00001d004503	NA	Zm00008a007986
Cluster_0125	Zm00001d004491,Zm00001d004503	NA	Zm00008a007986
Cluster_0125	Zm00001d004491,Zm00001d004503	Cluster_0323	Zm00008a007977,Zm00008a007987
Cluster_0125	Zm00001d004491,Zm00001d004503	Cluster_0323	Zm00008a007977,Zm00008a007987
Cluster_0127	Zm00001d004526,Zm00001d004527	NA	Zm00008a007999
Cluster_0127	Zm00001d004526,Zm00001d004527	NA	Zm00008a008000
Cluster_0128	Zm00001d004572,Zm00001d004589	NA	Zm00008a008034
Cluster_0128	Zm00001d004572,Zm00001d004589	NA	Zm00008a008038
Cluster_0130	Zm00001d004676,Zm00001d004677	NA	Zm00008a008092
Cluster_0130	Zm00001d004676,Zm00001d004677	NA	Zm00008a008092
Cluster_0132	Zm00001d004687,Zm00001d004689	Cluster_0326	Zm00008a008100,Zm00008a008101
Cluster_0132	Zm00001d004687,Zm00001d004689	Cluster_0326	Zm00008a008100,Zm00008a008101
Cluster_0133	Zm00001d004718,Zm00001d004719	NA	Zm00008a008130
Cluster_0133	Zm00001d004718,Zm00001d004719	NA	Zm00008a008130
Cluster_0134	Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730	Cluster_0327	Zm00008a008133,Zm00008a008137,Zm00008a008138
Cluster_0134	Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730	Cluster_0327	Zm00008a008133,Zm00008a008137,Zm00008a008138
Cluster_0134	Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730	Cluster_0327	Zm00008a008133,Zm00008a008137,Zm00008a008138
Cluster_0134	Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730	Cluster_0327	Zm00008a008133,Zm00008a008137,Zm00008a008138
Cluster_0134	Zm00001d004721,Zm00001d004725,Zm00001d004728,Zm00001d004729,Zm00001d004730	Cluster_0327	Zm00008a008133,Zm00008a008137,Zm00008a008138
Cluster_0135	Zm00001d004753,Zm00001d004754,Zm00001d004758	NA	Zm00008a008162
Cluster_0135	Zm00001d004753,Zm00001d004754,Zm00001d004758	Cluster_0328	Zm00008a008156,Zm00008a008160,Zm00008a008163
