Duplicate_ID	Ancestral_Gene	B1_Genes	B2_Genes	P1_Genes	P2_Genes	B1_Ages	B2_Ages	P1_Ages	P2_Ages
Syntenic_Dup_0318	Sobic.006G246600	Zm00001d002014,Zm00001d002015,Zm00001d002016,Zm00001d002017,Zm00001d002018	NA	Zm00008a006081,Zm00008a006082,Zm00008a006083	NA	11.7297840352,11.7297840352,11.7297840352,11.7297840352	NA	11.7297840352,11.7297840352	NA
Syntenic_Dup_0319	Sobic.006G246200	Zm00001d002013,Zm00001d002019,Zm00001d002020	Zm00001d026488,Zm00001d026489	Zm00008a006084,Zm00008a006085,Zm00008a006086,Zm00008a006090	Zm00008a038758	11.7461101152,11.7461101152	1.37787811738	11.7461101152,10.1311925433,11.7461101152	NA
Syntenic_Dup_0320	Sobic.006G245600	Zm00001d002026	NA	Zm00008a006084,Zm00008a006085,Zm00008a006086,Zm00008a006090	NA	NA	NA	2.77600742479,0.690199165699,11.7262082092	NA
Syntenic_Dup_0321	Sobic.006G242600	Zm00001d002055,Zm00001d002057	Zm00001d026470	Zm00008a006108	Zm00008a038734	6.64400464805	NA	NA	NA
Syntenic_Dup_0322	Sobic.006G241900	Zm00001d002066,Zm00001d002067	NA	Zm00008a039719	NA	11.7270387663	NA	NA	NA
Syntenic_Dup_0323	Sobic.006G241400	Zm00001d002069,Zm00001d002071,Zm00001d002072,Zm00001d002074	Zm00001d026454,Zm00001d026456,Zm00001d026457	Zm00008a006119	NA	11.7433270315,11.7433270315,3.12294500712	2.60857395531,1.62294791833	NA	NA
Syntenic_Dup_0324	Sobic.006G241200	Zm00001d002069,Zm00001d002071,Zm00001d002072,Zm00001d002074	Zm00001d026454,Zm00001d026456,Zm00001d026457	NA	NA	3.04737352982,9.62160875468,11.7112611082	11.7112611082,8.57576121938	NA	NA
Syntenic_Dup_0325	Sobic.006G238000	Zm00001d002093,Zm00001d002094	Zm00001d026436	Zm00008a006138,Zm00008a006139	Zm00008a038707	7.11113484582	NA	7.11113484582	NA
Syntenic_Dup_0326	Sobic.006G234300	Zm00001d002137,Zm00001d002138	NA	Zm00008a006164	NA	11.7232925161	NA	NA	NA
Syntenic_Dup_0327	Sobic.006G234200	Zm00001d002137,Zm00001d002138	NA	NA	NA	11.7921682022	NA	NA	NA
Syntenic_Dup_0328	Sobic.006G230700	Zm00001d002158,Zm00001d002159,Zm00001d002160,Zm00001d002161	Zm00001d026390	Zm00008a006177	Zm00008a038675	9.45222655441,9.45222655441,11.7284813288	NA	NA	NA
Syntenic_Dup_0329	Sobic.006G230100	Zm00001d002168,Zm00001d002172,Zm00001d002173,Zm00001d002174,Zm00001d002178,Zm00001d002181	NA	Zm00008a006173	NA	8.0575267458,9.68354692767,9.68354692767,2.19832855541,1.24062004095	NA	NA	NA
Syntenic_Dup_0330	Sobic.006G225100	Zm00001d002179,Zm00001d002182	NA	Zm00008a006197,Zm00008a006200	NA	11.812206063	NA	11.812206063	NA
Syntenic_Dup_0331	Sobic.006G228100	Zm00001d002192,Zm00001d002193	NA	Zm00008a006208	NA	0.559000431108	NA	NA	NA
Syntenic_Dup_0332	Sobic.006G228200	Zm00001d002198,Zm00001d002199	NA	Zm00008a006192,Zm00008a006193,Zm00008a006196,Zm00008a006199,Zm00008a006209,Zm00008a006210	NA	2.10317202357	NA	7.99276398797,3.42125044187,1.60107729604,11.7175551903,4.18802123671	NA
Syntenic_Dup_0333	LOC_Os04g53580	Zm00001d002202,Zm00001d002208,Zm00001d002214,Zm00001d002221,Zm00001d002228	NA	NA	NA	0.0509244142588,11.7228331447,11.7228331447,0.0525810563311	NA	NA	NA
Syntenic_Dup_0334	Sobic.006G223900	Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229	Zm00001d026354	Zm00008a006213,Zm00008a006220,Zm00008a006224	Zm00008a038646	0.617356746414,1.50892212099,6.19549954901,6.19549954901	NA	2.74370471525,2.74370471525	NA
Syntenic_Dup_0335	LOC_Os04g53550	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Zm00001d026352	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228	Zm00008a038645	0.148539895667,0.0725333382848,11.7354313294,11.7354313294,0.148539895667,0.148539895667,0.148539895667,0.148539895667,0.128519650529	NA	0.148539895667,0.156548167918,0.156548167918	NA
Syntenic_Dup_0336	Sobic.006G221101	Zm00001d002254,Zm00001d002255	Zm00001d026341	NA	Zm00008a038633	2.16648692016	NA	NA	NA
Syntenic_Dup_0337	Sobic.006G220600	Zm00001d002260,Zm00001d002261	NA	Zm00008a006249	NA	0.142510165318	NA	NA	NA
Syntenic_Dup_0338	Sobic.006G220500	Zm00001d002260,Zm00001d002261	NA	Zm00008a006249	NA	5.55536627155	NA	NA	NA
Syntenic_Dup_0339	Sobic.006G216500	Zm00001d002302	NA	Zm00008a006280,Zm00008a006282	NA	NA	NA	11.8136047254	NA
Syntenic_Dup_0340	Sobic.006G215600	Zm00001d002313	Zm00001d026306	Zm00008a006283	Zm00008a038607,Zm00008a038610	NA	NA	NA	11.7298016387
Syntenic_Dup_0341	Sobic.006G207100	Zm00001d002393,Zm00001d002394	Zm00001d026255	Zm00008a006352,Zm00008a006353	Zm00008a038567	11.7405340731	NA	11.7405340731	NA
Syntenic_Dup_0342	Sobic.006G206700	Zm00001d002399,Zm00001d002402	NA	Zm00008a006356	NA	11.7661801976	NA	NA	NA
Syntenic_Dup_0343	Sobic.006G205700	Zm00001d002409	Zm00001d026250,Zm00001d026251	Zm00008a006362,Zm00008a006363,Zm00008a006364	Zm00008a038561,Zm00008a038562	NA	11.7496899917	11.7496899917,5.91617335294	11.7496899917
Syntenic_Dup_0344	Sobic.006G205600	Zm00001d002410,Zm00001d002412	Zm00001d026250,Zm00001d026251	Zm00008a006362,Zm00008a006363,Zm00008a006364	Zm00008a038561,Zm00008a038562	7.00223963821	11.7337355171	11.7337355171,11.7337355171	11.7337355171
Syntenic_Dup_0345	Sobic.006G202500	Zm00001d002434,Zm00001d002435,Zm00001d002436	NA	Zm00008a006383,Zm00008a006384,Zm00008a006385	NA	6.50036428872,0.652984300567	NA	3.00740822423,11.7141475042	NA
Syntenic_Dup_0346	Sobic.006G201700	Zm00001d002446,Zm00001d002447	NA	Zm00008a006393	NA	11.7300316012	NA	NA	NA
Syntenic_Dup_0347	Sobic.006G200500	Zm00001d002457	Zm00001d026211	Zm00008a006406,Zm00008a006419	Zm00008a038538	NA	NA	4.32531535882	NA
Syntenic_Dup_0348	Sobic.006G200200	Zm00001d002473,Zm00001d002474	NA	Zm00008a006406,Zm00008a006419	NA	11.7390666354	NA	11.7390666354	NA
Syntenic_Dup_0349	Sobic.006G199800	Zm00001d002476	Zm00001d026197,Zm00001d026203,Zm00001d026204	Zm00008a006421	Zm00008a040550	NA	10.9757167573,10.9757167573	NA	NA
Syntenic_Dup_0350	Sobic.006G195200	Zm00001d002514,Zm00001d002515	NA	Zm00008a006450,Zm00008a006451	NA	11.7338317259	NA	11.7338317259	NA
Syntenic_Dup_0351	Sobic.006G195000	Zm00001d002514,Zm00001d002515	Zm00001d026042	Zm00008a006450,Zm00008a006451	Zm00008a038378	11.7309886906	NA	6.94765625842	NA
Syntenic_Dup_0352	Sobic.006G194100	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	Zm00001d026026,Zm00001d026028,Zm00001d026029	Zm00008a006453,Zm00008a006454	Zm00008a038373,Zm00008a038374	11.7215820183,11.7215820183,10.5404869403,7.81740561597	10.5404869403,7.88693715235	11.7215820183	2.77242435614
Syntenic_Dup_0353	Sobic.006G194000	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	Zm00001d026026,Zm00001d026028,Zm00001d026029	Zm00008a006453,Zm00008a006454	Zm00008a038373,Zm00008a038374	9.21634073278,11.7254158169,11.7254158169,1.88459771405	11.7254158169,11.7254158169	9.21634073278	11.7254158169
Syntenic_Dup_0354	Sobic.006G193600	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	Zm00001d026026,Zm00001d026028,Zm00001d026029	NA	Zm00008a038372	0.0118699590571,0.0097019591711,11.7303910474,11.7303910474	0.0452792794263,0.0118699590571	NA	NA
Syntenic_Dup_0355	Sobic.006G191800	Zm00001d002543,Zm00001d002546	Zm00001d026015	Zm00008a006471,Zm00008a006474	Zm00008a038361	11.753635283	NA	0.0147483313492	NA
Syntenic_Dup_0356	Sobic.006G190850	Zm00001d002556,Zm00001d002557	NA	NA	NA	11.8189997331	NA	NA	NA
Syntenic_Dup_0357	Sobic.006G190700	Zm00001d002556,Zm00001d002557	NA	Zm00008a006480	NA	11.7313546775	NA	NA	NA
Syntenic_Dup_0358	Sobic.006G189700	Zm00001d002568,Zm00001d002576	Zm00001d026002	Zm00008a006486	Zm00008a038354	11.7274191645	NA	NA	NA
Syntenic_Dup_0359	Sobic.006G189000	Zm00001d002570,Zm00001d002572	NA	Zm00008a006488,Zm00008a006489	NA	1.55507928096	NA	6.32555862068	NA
Syntenic_Dup_0360	Sobic.006G188700	Zm00001d002568,Zm00001d002576	Zm00001d026053	NA	NA	11.7331624791	NA	NA	NA
Syntenic_Dup_0361	Sobic.006G184800	Zm00001d002618,Zm00001d002620	NA	Zm00008a006524,Zm00008a006525	NA	11.8352030169	NA	11.8352030169	NA
Syntenic_Dup_0362	Sobic.006G184700	Zm00001d002618,Zm00001d002620	NA	Zm00008a006524,Zm00008a006525	NA	11.8163771268	NA	11.8163771268	NA
Syntenic_Dup_0363	Sobic.006G184000	Zm00001d002626,Zm00001d002629	NA	Zm00008a040372	NA	0.777356714145	NA	NA	NA
Syntenic_Dup_0364	Sobic.006G183900	Zm00001d002626,Zm00001d002629	Zm00001d026083	NA	Zm00008a038528	1.77722903023	NA	NA	NA
Syntenic_Dup_0365	Sobic.006G183500	Zm00001d002625,Zm00001d002631	NA	NA	Zm00008a038526	5.93934475331	NA	NA	NA
Syntenic_Dup_0366	Sobic.006G178200	Zm00001d002675	Zm00001d026133,Zm00001d026134	Zm00008a006552	Zm00008a038460,Zm00008a038461	NA	11.717903139	NA	11.717903139
Syntenic_Dup_0367	Sobic.006G176300	Zm00001d002698,Zm00001d002699	NA	Zm00008a006569,Zm00008a006571	NA	11.7354920973	NA	11.7354920973	NA
Syntenic_Dup_0368	Sobic.006G174000	Zm00001d002707	NA	Zm00008a006576,Zm00008a006581	NA	NA	NA	11.7115652953	NA
Syntenic_Dup_0369	Sobic.006G173700	Zm00001d002705,Zm00001d002708	NA	Zm00008a006579,Zm00008a006583	NA	0.701514378758	NA	6.50116581009	NA
Syntenic_Dup_0370	Sobic.006G172601	Zm00001d002721	Zm00001d026160,Zm00001d026162,Zm00001d026163	Zm00008a006594	Zm00008a038480,Zm00008a038481,Zm00008a038484,Zm00008a038485	NA	11.7121031758,3.1826318741	NA	11.7121031758,3.10603460725,4.92671637485
Syntenic_Dup_0371	Sobic.006G172400	Zm00001d002723	Zm00001d026164	Zm00008a006595	Zm00008a038486,Zm00008a038487	NA	NA	NA	9.52293327639
Syntenic_Dup_0372	Sobic.006G171900	Zm00001d002727,Zm00001d002728,Zm00001d002729	NA	Zm00008a006598,Zm00008a006599	NA	11.7520990162,11.7520990162	NA	11.7520990162	NA
Syntenic_Dup_0373	Sobic.006G171801	Zm00001d002727,Zm00001d002728,Zm00001d002729	NA	Zm00008a006598,Zm00008a006599	NA	0.736155724948,11.7194226425	NA	11.7194226425	NA
Syntenic_Dup_0374	Sobic.006G170600	Zm00001d002738	Zm00001d026177,Zm00001d026178	Zm00008a006608	Zm00008a038506,Zm00008a038507	NA	1.61204710811	NA	11.7903061322
Syntenic_Dup_0375	Sobic.006G169900	Zm00001d002744,Zm00001d002747,Zm00001d002748	Zm00001d026182,Zm00001d026184,Zm00001d026191	Zm00008a006614	Zm00008a038511,Zm00008a038517	11.7113106188,9.12508442482	9.21568789485,9.21568789485	NA	9.21568789485
Syntenic_Dup_0376	Sobic.006G166800	Zm00001d002772,Zm00001d002773	NA	Zm00008a006636,Zm00008a006637	NA	0.0856659623838	NA	11.7477093497	NA
Syntenic_Dup_0377	Sobic.006G166700	Zm00001d002772,Zm00001d002773	NA	Zm00008a006636,Zm00008a006637	NA	4.05033601322	NA	11.7078211815	NA
Syntenic_Dup_0378	Sobic.006G162400	Zm00001d002812,Zm00001d002814	NA	Zm00008a006666	NA	11.7520950265	NA	NA	NA
Syntenic_Dup_0379	Sobic.006G162300	Zm00001d002812,Zm00001d002814	NA	Zm00008a006667	NA	11.7312655992	NA	NA	NA
Syntenic_Dup_0380	Sobic.006G159200	Zm00001d002843	Zm00001d025930	Zm00008a006695,Zm00008a006696	Zm00008a038303	NA	NA	2.67919555908	NA
Syntenic_Dup_0381	Sobic.006G158500	Zm00001d002847,Zm00001d002848	Zm00001d025922,Zm00001d025923,Zm00001d025924	Zm00008a006699,Zm00008a006701	Zm00008a038299	9.57925745899	9.57925745899,9.57925745899	11.7327158877	NA
Syntenic_Dup_0382	Sobic.006G276600	Zm00001d002888,Zm00001d002893	NA	Zm00008a006736	NA	0.00440608520257	NA	NA	NA
Syntenic_Dup_0383	Sobic.006G277100	Zm00001d002888,Zm00001d002893	NA	Zm00008a006740	NA	0.412769861675	NA	NA	NA
Syntenic_Dup_0384	Sobic.006G277500	Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	Zm00001d026683	Zm00008a006743	Zm00008a038912	10.7170324329,10.7170324329,10.5081295256,10.5081295256	NA	NA	NA
Syntenic_Dup_0385	Sobic.006G154500	Zm00001d002958,Zm00001d002959	Zm00001d025900,Zm00001d025901	Zm00008a006809,Zm00008a006810	Zm00008a038273	6.08803647022	3.46260064655	11.7366581312	NA
Syntenic_Dup_0386	Sobic.006G154400	Zm00001d002958,Zm00001d002959	NA	Zm00008a006809,Zm00008a006810	NA	11.7439123877	NA	11.7439123877	NA
Syntenic_Dup_0387	Sobic.006G152801	Zm00001d002972,Zm00001d002974	Zm00001d025887,Zm00001d025888,Zm00001d025889	Zm00008a006824,Zm00008a006829	Zm00008a038266	11.7309405467	11.7309405467,0.0103916376695	0.0334606987708	NA
Syntenic_Dup_0388	Sobic.006G152500	Zm00001d002972,Zm00001d002974	Zm00001d025887,Zm00001d025888,Zm00001d025889	Zm00008a006824,Zm00008a006829	Zm00008a038266	11.7163315453	7.30908588763,1.04900340043	11.7163315453	NA
Syntenic_Dup_0389	Sobic.006G148800	Zm00001d003015,Zm00001d003016	NA	Zm00008a006866,Zm00008a006867	NA	2.67158930333	NA	11.7270309118	NA
Syntenic_Dup_0390	Sobic.006G148400	Zm00001d003019,Zm00001d003021,Zm00001d003023	NA	Zm00008a006912	NA	4.5335770954,0.0618580122746	NA	NA	NA
Syntenic_Dup_0391	Sobic.006G143000	Zm00001d003020,Zm00001d003022,Zm00001d003024	NA	Zm00008a040289	NA	10.193458174,9.74499390205	NA	NA	NA
Syntenic_Dup_0392	Sobic.006G145400	Zm00001d003044,Zm00001d003045,Zm00001d003046	NA	Zm00008a006892	NA	10.1287838932,10.1287838932	NA	NA	NA
Syntenic_Dup_0393	Sobic.006G147700	Zm00001d003058,Zm00001d003059	Zm00001d025862	Zm00008a006904,Zm00008a006905	Zm00008a038243	11.7120868374	NA	8.65550311247	NA
Syntenic_Dup_0394	Sobic.006G148100	Zm00001d003066,Zm00001d003067	NA	Zm00008a006908,Zm00008a006910	NA	0.00289371456069	NA	11.739248256	NA
Syntenic_Dup_0395	Sobic.006G139700	Zm00001d003103	Zm00001d025808,Zm00001d025812	Zm00008a006937	Zm00008a038205	NA	4.7555320205	NA	NA
Syntenic_Dup_0396	Sobic.006G136500	Zm00001d003140,Zm00001d003142,Zm00001d003144	NA	Zm00008a006963,Zm00008a006964	NA	11.7027855654,1.63423727198	NA	11.7027855654	NA
Syntenic_Dup_0397	Sobic.006G136000	Zm00001d003151,Zm00001d003155	NA	Zm00008a006970	NA	0.122489983692	NA	NA	NA
Syntenic_Dup_0398	Sobic.006G134100	Zm00001d003173,Zm00001d003174	Zm00001d025761	Zm00008a006982	Zm00008a038172	0.163250892302	NA	NA	NA
Syntenic_Dup_0399	Sobic.006G132800	Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	Zm00001d025754	Zm00008a006993,Zm00008a006994,Zm00008a006995,Zm00008a006996,Zm00008a006997	Zm00008a038168	5.50344695311,5.50344695311,6.97224921167,11.7351193505	NA	0.728943571299,4.18935754102,6.97224921167,11.7351193505	NA
Syntenic_Dup_0400	Sobic.006G132200	Zm00001d003188,Zm00001d003190,Zm00001d003191	Zm00001d025753	Zm00008a006998	Zm00008a038167	11.734574096,11.734574096	NA	NA	NA
Syntenic_Dup_0401	Sobic.006G129300	Zm00001d003217,Zm00001d003219	Zm00001d025741,Zm00001d025744	Zm00008a007033	Zm00008a038162	4.17119704411	11.7189644025	NA	NA
Syntenic_Dup_0402	Sobic.006G122400	Zm00001d003277,Zm00001d003280	NA	NA	NA	11.7948380989	NA	NA	NA
Syntenic_Dup_0403	Sobic.006G120200	Zm00001d003294,Zm00001d003295	NA	Zm00008a007088	NA	11.8366846193	NA	NA	NA
Syntenic_Dup_0404	Sobic.006G115400	Zm00001d003341,Zm00001d003342	Zm00001d025666	Zm00008a007122	Zm00008a038091	6.63111312569	NA	NA	NA
Syntenic_Dup_0405	Sobic.006G113700	Zm00001d003353,Zm00001d003355,Zm00001d003356,Zm00001d003357,Zm00001d003358,Zm00001d003363,Zm00001d003364,Zm00001d003365	Zm00001d025654	Zm00008a007131	Zm00008a038079	11.7466269982,2.5988086736,11.7466269982,11.7466269982,1.23091442933,1.60218706251,4.22891110707	NA	NA	NA
Syntenic_Dup_0406	Sobic.006G108900	Zm00001d003396,Zm00001d003397	NA	Zm00008a007157	NA	0.0108070882341	NA	NA	NA
Syntenic_Dup_0407	Sobic.006G106300	Zm00001d003427	Zm00001d025592,Zm00001d025596,Zm00001d025597,Zm00001d025598,Zm00001d025603,Zm00001d025605,Zm00001d025606,Zm00001d025609,Zm00001d025611	Zm00008a007183	Zm00008a038034,Zm00008a038038,Zm00008a038039,Zm00008a038041,Zm00008a038042,Zm00008a038045	NA	4.59390865793,0.615842925896,4.59390865793,4.59390865793,4.59390865793,1.13812299328,4.59390865793,4.59390865793	NA	4.59390865793,4.59390865793,4.59390865793,4.59390865793,0.748758075679
Syntenic_Dup_0408	Sobic.006G105900	Zm00001d003429	Zm00001d025593,Zm00001d025599,Zm00001d025607	Zm00008a007185	Zm00008a038033,Zm00008a038044	NA	0.061104914627,11.7428023376	NA	11.4509796285
Syntenic_Dup_0409	Sobic.006G105200	Zm00001d003432,Zm00001d003434,Zm00001d003436	Zm00001d025586	Zm00008a007188,Zm00008a007189,Zm00008a007191	Zm00008a038026	11.7040703205,1.9516087138	NA	11.7040703205,5.74900451154	NA
Syntenic_Dup_0410	Sobic.006G102500	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	NA	Zm00008a007204,Zm00008a007205,Zm00008a007211	NA	11.7188278674,11.7188278674,1.28307354165	NA	5.65212848542,2.78666613199	NA
Syntenic_Dup_0411	Sobic.006G102400	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	Zm00001d025572,Zm00001d025573	Zm00008a007204,Zm00008a007205,Zm00008a007211	Zm00008a038017,Zm00008a038018	9.51179794194,9.51179794194,2.45099463163	0.861701399568	11.7246890738,11.7246890738	9.51179794194
Syntenic_Dup_0412	Sobic.006G101900	Zm00001d003468,Zm00001d003469,Zm00001d003471,Zm00001d003473	NA	Zm00008a007204,Zm00008a007205,Zm00008a007211	NA	2.26683211116,11.7351444616,11.7351444616	NA	1.46011560823,11.7351444616	NA
Syntenic_Dup_0413	Sobic.006G101300	Zm00001d003482,Zm00001d003485	NA	NA	NA	11.8094853838	NA	NA	NA
Syntenic_Dup_0414	Sobic.006G100900	Zm00001d003483,Zm00001d003488	NA	Zm00008a007224,Zm00008a007226	NA	11.7238260641	NA	11.7238260641	NA
Syntenic_Dup_0415	Sobic.006G101100	Zm00001d003482,Zm00001d003485	NA	Zm00008a007225	NA	11.7361071291	NA	NA	NA
Syntenic_Dup_0416	Sobic.006G100266	Zm00001d003495	NA	Zm00008a039635,Zm00008a039636	NA	NA	NA	0.00239147017205	NA
Syntenic_Dup_0417	Sobic.006G100100	Zm00001d003497,Zm00001d003499	NA	Zm00008a007231	Zm00008a038011	11.7241900606	NA	NA	NA
Syntenic_Dup_0418	Sobic.006G099800	Zm00001d003502	Zm00001d025559	Zm00008a007234	Zm00008a038000,Zm00008a038001,Zm00008a038004,Zm00008a038009,Zm00008a038010	NA	NA	NA	5.30964522683,1.2270449467,0.578865664536,1.73481324631
Syntenic_Dup_0419	Sobic.006G099700	Zm00001d003501,Zm00001d003504	NA	Zm00008a007233,Zm00008a007235	NA	3.72803919124	NA	11.7425695945	NA
Syntenic_Dup_0420	Sobic.006G096500	Zm00001d003522	NA	Zm00008a007252,Zm00008a007258	NA	NA	NA	11.7353905984	NA
Syntenic_Dup_0421	Sobic.006G096400	Zm00001d003524,Zm00001d003525	Zm00001d025528,Zm00001d025533	Zm00008a007253,Zm00008a007255	Zm00008a037980,Zm00008a037981	1.775843461	2.13778628802	11.7241851214	11.7241851214
Syntenic_Dup_0422	Sobic.006G096000	Zm00001d003524,Zm00001d003525	Zm00001d025528,Zm00001d025533	Zm00008a007253,Zm00008a007255	Zm00008a037980,Zm00008a037981	1.12880267295	1.06269826978	11.7286315132	10.6813440621
Syntenic_Dup_0423	Sobic.006G095700	Zm00001d003531	NA	Zm00008a007252,Zm00008a007258	NA	NA	NA	11.727783742	NA
Syntenic_Dup_0424	Sobic.006G092800	Zm00001d003566,Zm00001d003567	NA	Zm00008a007281,Zm00008a007282	NA	2.3809795412	NA	11.7807651447	NA
Syntenic_Dup_0425	Sobic.006G089500	Zm00001d003601	NA	Zm00008a007309	Zm00008a037928,Zm00008a037943,Zm00008a037945	NA	NA	NA	6.89982474604,6.89982474604
Syntenic_Dup_0426	Sobic.006G088500	Zm00001d003605,Zm00001d003606,Zm00001d003607	NA	Zm00008a007314,Zm00008a007315	NA	11.7308294992,4.7771449741	NA	4.7771449741	NA
Syntenic_Dup_0427	Sobic.006G082600	Zm00001d003661,Zm00001d003662	Zm00001d025421	Zm00008a007359	Zm00008a037911	4.69891105378	NA	NA	NA
Syntenic_Dup_0428	Sobic.006G078300	Zm00001d003719,Zm00001d003722	NA	Zm00008a007400,Zm00008a007401	NA	11.7329335793	NA	11.7329335793	NA
Syntenic_Dup_0429	Sobic.006G076500	Zm00001d003723	Zm00001d025383,Zm00001d025388,Zm00001d025390,Zm00001d025391,Zm00001d025393,Zm00001d025394,Zm00001d025396	Zm00008a007405	NA	NA	5.68829713856,11.6908553384,0.1400870005,0.0253823729436,0.1400870005,0.1400870005	NA	NA
Syntenic_Dup_0430	Sobic.006G076601	Zm00001d003729	NA	Zm00008a007404,Zm00008a007406	NA	NA	NA	11.4362758217	NA
Syntenic_Dup_0431	Sobic.006G076400	Zm00001d003730	Zm00001d025381,Zm00001d025382	Zm00008a007402,Zm00008a007408	Zm00008a037880	NA	6.65493348428	11.5983771255	NA
Syntenic_Dup_0432	Sobic.006G074300	Zm00001d003757,Zm00001d003760	NA	Zm00008a007422,Zm00008a007423	NA	11.7184005169	NA	11.7184005169	NA
Syntenic_Dup_0433	Sobic.006G070564	Zm00001d003776	Zm00001d025354,Zm00001d025355	Zm00008a007440	Zm00008a037855,Zm00008a037856	NA	11.7421990599	NA	11.7421990599
Syntenic_Dup_0434	Sobic.006G069400	Zm00001d003780	NA	Zm00008a007444,Zm00008a007445	NA	NA	NA	11.8397948906	NA
Syntenic_Dup_0435	Sobic.006G069300	Zm00001d003781	NA	Zm00008a007444,Zm00008a007445	NA	NA	NA	11.8272758233	NA
Syntenic_Dup_0436	Sobic.006G069100	Zm00001d003786,Zm00001d003791,Zm00001d003794	NA	Zm00008a007453	NA	6.51134470675,11.7209326134	NA	NA	NA
Syntenic_Dup_0437	Sobic.006G068800	Zm00001d003800	NA	Zm00008a007460,Zm00008a007463	NA	NA	NA	11.8344653752	NA
Syntenic_Dup_0438	Sobic.006G062900	Zm00001d003850,Zm00001d003852	Zm00001d025310,Zm00001d025319	NA	NA	5.22085589907	11.7300975017	NA	NA
Syntenic_Dup_0439	Sobic.006G063100	Zm00001d003850,Zm00001d003852	Zm00001d025310,Zm00001d025319	Zm00008a007518	Zm00008a037832	2.53747912587	5.32519415497	NA	NA
Syntenic_Dup_0440	Sobic.006G061700	Zm00001d003859,Zm00001d003861	NA	Zm00008a007524,Zm00008a007526	NA	8.98766854012	NA	11.7364202843	NA
Syntenic_Dup_0441	Sobic.006G061300	Zm00001d003859,Zm00001d003861	Zm00001d025303	Zm00008a007524,Zm00008a007526	Zm00008a037826	5.89454594779	NA	11.7311254008	NA
Syntenic_Dup_0442	Sobic.006G060800	Zm00001d003866,Zm00001d003867	NA	Zm00008a007531	NA	11.7274736683	NA	NA	NA
Syntenic_Dup_0443	Sobic.006G058732	Zm00001d003884	Zm00001d025281	Zm00008a007535,Zm00008a007545	NA	NA	NA	11.6656777746	NA
Syntenic_Dup_0444	Sobic.006G055800	Zm00001d003913	Zm00001d025265,Zm00001d025267	Zm00008a007564	Zm00008a037809	NA	9.42880842439	NA	NA
Syntenic_Dup_0445	Sobic.006G053400	Zm00001d003939,Zm00001d003941	NA	Zm00008a007596,Zm00008a007598	NA	11.7380137005	NA	2.79924041228	NA
Syntenic_Dup_0446	Sobic.006G053100	Zm00001d003939,Zm00001d003941	NA	Zm00008a007596,Zm00008a007598	NA	6.61023348013	NA	11.7243562006	NA
Syntenic_Dup_0447	Sobic.006G052200	Zm00001d003949,Zm00001d003950,Zm00001d003954	Zm00001d025237	Zm00008a007602,Zm00008a007603,Zm00008a007609	Zm00008a037786	11.7258022414,9.98188232842	NA	11.7258022414,6.89158928113	NA
Syntenic_Dup_0448	Sobic.006G051300	Zm00001d003961,Zm00001d003962	NA	Zm00008a007612,Zm00008a007613	NA	11.7218294837	NA	11.7218294837	NA
Syntenic_Dup_0449	Sobic.006G045000	Zm00001d003981	Zm00001d025225,Zm00001d025226	NA	Zm00008a037778	NA	11.7320753402	NA	NA
Syntenic_Dup_0450	Sobic.006G049900	Zm00001d004025,Zm00001d004033	NA	Zm00008a007650,Zm00008a007657	NA	11.816602696	NA	11.816602696	NA
Syntenic_Dup_0451	Sobic.006G026900	Zm00001d004301,Zm00001d004305,Zm00001d004306,Zm00001d004308	Zm00001d025028	Zm00008a007832,Zm00008a007835,Zm00008a007836,Zm00008a007837	Zm00008a037638	11.7103994849,11.7103994849,2.40218613993	NA	11.7103994849,11.7103994849,2.40218613993	NA
Syntenic_Dup_0452	Sobic.006G026200	Zm00001d004322,Zm00001d004326	NA	Zm00008a007844	NA	11.7939255709	NA	NA	NA
Syntenic_Dup_0453	LOC_Os04g11390	Zm00001d004328,Zm00001d004331	NA	NA	NA	11.8093768808	NA	NA	NA
Syntenic_Dup_0454	Sobic.006G026100	Zm00001d004328,Zm00001d004331	NA	NA	NA	11.8032420773	NA	NA	NA
Syntenic_Dup_0455	Sobic.006G023900	Zm00001d004355,Zm00001d004364,Zm00001d004371	NA	Zm00008a007860,Zm00008a007870,Zm00008a007875	NA	1.54373733824,11.7431937286	NA	1.54373733824,11.7431937286	NA
