Orthogroup,B73,PH207
OG0002711,Zm00001d049389_T001_1,Zm00008a015451_C01_1
OG0003333,Zm00001d049390_T001_1,Zm00008a015453_C01_1
OG0015591,Zm00001d049400_T001_1,Zm00008a015463_C01_1
OG0004080,Zm00001d049407_T001_1,Zm00008a015467_C01_1
OG0000167,Zm00001d049435_T001_1,Zm00008a015477_C01_1
OG0000167,Zm00001d049420_T001_1,Zm00008a015475_C01_1
OG0000167,Zm00001d049421_T001_1,Zm00008a015476_C01_1
OG0000167,Zm00001d049418_T001_1,Zm00008a015474_C01_1
OG0009858,Zm00001d049440_T004_1,Zm00008a015480_C01_1
OG0001737,Zm00001d049441_T002_1,Zm00008a015481_C01_1
OG0000167,Zm00001d049436_T001_1,Zm00008a015478_C01_1
OG0009485,Zm00001d049442_T008_1,Zm00008a015482_C01_1
OG0001391,Zm00001d049443_T005_1,Zm00008a015483_C01_1
OG0003280,Zm00001d049449_T002_1,Zm00008a015484_C01_1
OG0004305,Zm00001d049457_T042_1,Zm00008a015489_C01_1
OG0006175,Zm00001d049459_T001_1,Zm00008a015490_C01_1
OG0015553,Zm00001d049461_T001_1,Zm00008a015492_C01_1
OG0001790,Zm00001d049450_T007_1,Zm00008a015485_C01_1
OG0000532,Zm00001d049455_T008_1,Zm00008a015488_C01_1
OG0000034,Zm00001d049467_T001_1,Zm00008a015497_C01_1
OG0020767,Zm00001d003736_T001_1,Zm00008a015498_C01_1
OG0003193,Zm00001d049471_T001_1,Zm00008a015500_C01_1
OG0018764,"Zm00001d049474_T001_1, Zm00001d040016_T001_1, Zm00001d029081_T001_1, Zm00001d012952_T001_1","Zm00008a015502_C01_1, Zm00008a003553_C01_1"
OG0000062,Zm00001d049480_T005_1,Zm00008a015504_C01_1
OG0002859,"Zm00001d010551_T001_1, Zm00001d047454_T001_1","Zm00008a015505_C01_1, Zm00008a035300_C01_1"
OG0000156,Zm00001d048295_T002_1,Zm00008a015494_C01_1
OG0002788,Zm00001d049487_T001_1,Zm00008a015508_C01_1
OG0015109,Zm00001d049485_T001_1,Zm00008a015507_C01_1
OG0011573,Zm00001d049490_T001_1,Zm00008a015510_C01_1
OG0016695,Zm00001d049489_T001_1,Zm00008a015509_C01_1
OG0009634,Zm00001d049493_T001_1,Zm00008a015514_C01_1
OG0000156,Zm00001d030743_T001_1,Zm00008a015512_C01_1
OG0006166,Zm00001d049494_T001_1,Zm00008a015516_C01_1
OG0003420,Zm00001d049495_T001_1,Zm00008a015517_C01_1
OG0011058,Zm00001d049502_T001_1,Zm00008a015524_C01_1
OG0011073,Zm00001d049501_T001_1,Zm00008a015523_C01_1
OG0003580,Zm00001d049500_T001_1,Zm00008a015521_C01_1
OG0010541,Zm00001d049499_T001_1,Zm00008a015520_C01_1
OG0010588,Zm00001d049510_T001_1,"Zm00008a015529_C01_1, Zm00008a037251_C01_1"
OG0001660,Zm00001d049506_T001_1,Zm00008a015527_C01_1
OG0015571,Zm00001d049503_T001_1,Zm00008a015525_C01_1
OG0000705,Zm00001d025682_T001_1,Zm00008a015535_C01_1
OG0005362,Zm00001d049525_T004_1,Zm00008a015539_C01_1
OG0006658,Zm00001d049522_T001_1,Zm00008a015537_C01_1
OG0002120,Zm00001d049526_T002_1,Zm00008a015540_C01_1
OG0020739,Zm00001d019529_T001_1,Zm00008a015538_C01_1
OG0018183,Zm00001d049528_T001_1,Zm00008a015541_C01_1
OG0018183,Zm00001d049532_T001_1,Zm00008a015543_C01_1
OG0002267,Zm00001d049533_T001_1,Zm00008a015544_C01_1
OG0006163,Zm00001d049539_T001_1,Zm00008a015546_C01_1
OG0003367,Zm00001d049540_T002_1,Zm00008a015547_C01_1
OG0001402,Zm00001d049541_T001_1,Zm00008a015548_C01_1
OG0006163,Zm00001d049536_T001_1,Zm00008a015545_C01_1
OG0008145,Zm00001d049543_T013_1,Zm00008a015552_C01_1
OG0000138,Zm00001d049544_T001_1,Zm00008a015554_C01_1
OG0008103,Zm00001d049550_T001_1,Zm00008a015558_C01_1
OG0003774,Zm00001d049548_T002_1,Zm00008a015557_C01_1
OG0005348,"Zm00001d046873_T001_1, Zm00001d051030_T001_1, Zm00001d016547_T001_1",Zm00008a015556_C01_1
OG0012020,Zm00001d049553_T001_1,Zm00008a015561_C01_1
OG0001259,Zm00001d049554_T001_1,Zm00008a015562_C01_1
OG0001071,Zm00001d049552_T007_1,Zm00008a015560_C01_1
OG0000005,Zm00001d049551_T001_1,Zm00008a015559_C01_1
OG0001228,Zm00001d049556_T011_1,Zm00008a015564_C01_1
OG0006135,Zm00001d051855_T001_1,"Zm00008a015563_C01_1, Zm00008a020154_C01_1"
OG0013283,Zm00001d049560_T001_1,Zm00008a015567_C01_1
OG0003735,Zm00001d049558_T002_1,Zm00008a015566_C01_1
OG0006460,Zm00001d049564_T001_1,Zm00008a015570_C01_1
OG0001410,Zm00001d049563_T004_1,Zm00008a015569_C01_1
OG0007368,Zm00001d049561_T001_1,Zm00008a015568_C01_1
OG0002469,Zm00001d049565_T001_1,Zm00008a015573_C01_1
OG0000103,Zm00001d049573_T001_1,Zm00008a015578_C01_1
OG0002394,Zm00001d049571_T001_1,Zm00008a015576_C01_1
OG0012518,Zm00001d049572_T004_1,Zm00008a015577_C01_1
OG0001621,Zm00001d049578_T001_1,Zm00008a015579_C01_1
OG0003496,Zm00001d049579_T003_1,Zm00008a015580_C01_1
OG0000337,Zm00001d003605_T001_1,Zm00008a015584_C01_1
OG0006305,Zm00001d049581_T001_1,Zm00008a015581_C01_1
OG0012957,Zm00001d049582_T001_1,Zm00008a015582_C01_1
OG0012807,Zm00001d049592_T001_1,Zm00008a015587_C01_1
OG0000051,Zm00001d049585_T001_1,Zm00008a015585_C01_1
OG0000001,Zm00001d049588_T001_1,Zm00008a015586_C01_1
OG0001789,Zm00001d030006_T001_1,Zm00008a015588_C01_1
OG0001197,Zm00001d049597_T001_1,Zm00008a015590_C01_1
OG0007734,Zm00001d049599_T001_1,Zm00008a015591_C01_1
OG0013220,Zm00001d049602_T001_1,Zm00008a015593_C01_1
OG0002200,Zm00001d049595_T001_1,Zm00008a015589_C01_1
OG0001941,Zm00001d049605_T037_1,Zm00008a015594_C01_1
OG0010059,Zm00001d049607_T001_1,"Zm00008a015597_C01_1, Zm00008a037371_C01_1"
OG0005617,Zm00001d049615_T001_1,Zm00008a015603_C01_1
OG0011999,Zm00001d049612_T001_1,Zm00008a015601_C01_1
OG0011667,Zm00001d049610_T001_1,Zm00008a015600_C01_1
OG0015332,Zm00001d049614_T001_1,Zm00008a015602_C01_1
OG0018211,Zm00001d049616_T001_1,Zm00008a015604_C01_1
OG0004926,Zm00001d049619_T003_1,Zm00008a015606_C01_1
OG0003715,Zm00001d049608_T001_1,Zm00008a015599_C01_1
OG0004189,Zm00001d049621_T005_1,Zm00008a015607_C01_1
OG0008899,Zm00001d049623_T002_1,Zm00008a015610_C01_1
OG0008931,Zm00001d049625_T001_1,Zm00008a015612_C01_1
OG0004957,Zm00001d049627_T001_1,Zm00008a015617_C01_1
OG0002979,Zm00001d049629_T002_1,Zm00008a015619_C01_1
OG0009425,Zm00001d049637_T001_1,Zm00008a015624_C01_1
OG0003488,Zm00001d049638_T009_1,Zm00008a015626_C01_1
OG0020526,Zm00001d004166_T001_1,"Zm00008a015625_C01_1, Zm00008a039704_C01_1"
OG0002959,Zm00001d049630_T001_1,Zm00008a015620_C01_1
OG0008771,Zm00001d049636_T001_1,Zm00008a015622_C01_1
OG0012920,Zm00001d049632_T001_1,Zm00008a015621_C01_1
OG0000116,Zm00001d049642_T003_1,Zm00008a015630_C01_1
OG0011379,Zm00001d049643_T001_1,Zm00008a015631_C01_1
OG0012195,Zm00001d049647_T001_1,Zm00008a015632_C01_1
OG0000391,Zm00001d049640_T002_1,"Zm00008a015629_C01_1, Zm00008a015627_C01_1"
OG0010528,"Zm00001d049651_T001_1, Zm00001d035134_T001_1",Zm00008a015638_C01_1
OG0008906,Zm00001d049652_T005_1,Zm00008a015639_C01_1
OG0014135,Zm00001d049650_T001_1,Zm00008a015635_C01_1
OG0004851,Zm00001d049656_T001_1,Zm00008a015643_C01_1
OG0002989,Zm00001d049653_T001_1,Zm00008a015640_C01_1
OG0001613,Zm00001d049655_T001_1,Zm00008a015642_C01_1
OG0000794,Zm00001d049657_T001_1,Zm00008a015644_C01_1
OG0002152,Zm00001d049659_T001_1,Zm00008a015645_C01_1
OG0000136,Zm00001d049663_T001_1,Zm00008a015652_C01_1
OG0011249,Zm00001d049661_T001_1,Zm00008a015648_C01_1
OG0006817,"Zm00001d011421_T001_1, Zm00001d006857_T003_1, Zm00001d050136_T001_1",Zm00008a015650_C01_1
OG0000004,Zm00001d021244_T002_1,Zm00008a015654_C01_1
OG0017688,"Zm00001d012841_T001_1, Zm00001d002665_T001_1","Zm00008a015653_C01_1, Zm00008a019017_C01_1"
OG0005068,Zm00001d049664_T001_1,Zm00008a015655_C01_1
OG0001906,Zm00001d049668_T001_1,Zm00008a015660_C01_1
OG0013229,Zm00001d049665_T001_1,Zm00008a015656_C01_1
OG0010287,Zm00001d049678_T001_1,Zm00008a015668_C01_1
OG0000165,Zm00001d049683_T001_1,Zm00008a015670_C01_1
OG0007645,Zm00001d049685_T001_1,Zm00008a015672_C01_1
OG0020691,"Zm00001d053742_T001_1, Zm00001d019072_T001_1, Zm00001d031352_T005_1",Zm00008a015666_C01_1
OG0007680,Zm00001d049674_T002_1,Zm00008a015664_C01_1
OG0011833,Zm00001d049687_T001_1,Zm00008a015673_C01_1
OG0002200,Zm00001d049690_T001_1,Zm00008a015675_C01_1
OG0008609,Zm00001d049692_T001_1,Zm00008a015679_C01_1
OG0001399,Zm00001d049688_T001_1,Zm00008a015674_C01_1
OG0005415,Zm00001d049703_T001_1,Zm00008a015683_C01_1
OG0000536,Zm00001d049704_T001_1,Zm00008a015684_C01_1
OG0004306,Zm00001d049706_T009_1,Zm00008a015685_C01_1
OG0003053,Zm00001d049708_T007_1,Zm00008a015687_C01_1
OG0002514,Zm00001d035050_T007_1,"Zm00008a015681_C01_1, Zm00008a023481_C01_1"
OG0008245,Zm00001d049694_T004_1,Zm00008a015680_C01_1
OG0005797,Zm00001d049715_T001_1,Zm00008a015691_C01_1
OG0009702,Zm00001d049716_T001_1,Zm00008a015692_C01_1
OG0010447,Zm00001d049718_T008_1,Zm00008a015694_C01_1
OG0005983,Zm00001d049714_T003_1,Zm00008a015690_C01_1
OG0001159,Zm00001d049713_T001_1,Zm00008a015689_C01_1
OG0005664,Zm00001d049707_T006_1,Zm00008a015686_C01_1
OG0009023,Zm00001d049709_T001_1,Zm00008a015688_C01_1
OG0004236,Zm00001d049717_T001_1,Zm00008a015693_C01_1
OG0017640,"Zm00001d007162_T003_1, Zm00001d004623_T001_1, Zm00001d053064_T003_1, Zm00001d037955_T001_1, Zm00001d027915_T001_1","Zm00008a015701_C01_1, Zm00008a018172_C01_1, Zm00008a021325_C01_1"
OG0002844,Zm00001d049722_T001_1,Zm00008a015696_C01_1
OG0012708,Zm00001d049727_T001_1,Zm00008a015700_C01_1
OG0009204,"Zm00001d038438_T001_1, Zm00001d004944_T001_1, Zm00001d049724_T001_1",Zm00008a015697_C01_1
OG0004318,Zm00001d049725_T002_1,Zm00008a015698_C01_1
OG0013790,Zm00001d049721_T001_1,Zm00008a015695_C01_1
OG0007397,Zm00001d049729_T002_1,Zm00008a015703_C01_1
OG0012111,Zm00001d049738_T001_1,Zm00008a015712_C01_1
OG0000694,Zm00001d049741_T001_1,Zm00008a015715_C01_1
OG0001607,Zm00001d049734_T001_1,Zm00008a015709_C01_1
OG0007521,Zm00001d049736_T001_1,Zm00008a015710_C01_1
OG0002507,Zm00001d049746_T009_1,Zm00008a015720_C01_1
OG0003759,Zm00001d049745_T001_1,Zm00008a015719_C01_1
OG0013695,Zm00001d049748_T001_1,Zm00008a015721_C01_1
OG0001544,Zm00001d049742_T001_1,Zm00008a015717_C01_1
OG0009548,Zm00001d049744_T001_1,Zm00008a015718_C01_1
OG0007402,Zm00001d049759_T003_1,Zm00008a015728_C01_1
OG0010538,Zm00001d049760_T001_1,Zm00008a015729_C01_1
OG0010111,Zm00001d049750_T002_1,Zm00008a015722_C01_1
OG0015496,Zm00001d049756_T001_1,Zm00008a015725_C01_1
OG0001904,Zm00001d049764_T001_1,Zm00008a015736_C01_1
OG0009508,Zm00001d049763_T002_1,Zm00008a015734_C01_1
OG0006931,"Zm00001d049766_T001_1, Zm00001d031536_T001_1",Zm00008a015738_C01_1
OG0001578,Zm00001d049767_T001_1,Zm00008a015739_C01_1
OG0002807,"Zm00001d007018_T001_1, Zm00001d049768_T001_1",Zm00008a015740_C01_1
OG0000002,Zm00001d049770_T001_1,Zm00008a015742_C01_1
OG0001380,Zm00001d049769_T001_1,Zm00008a015741_C01_1
OG0009511,"Zm00001d007885_T001_1, Zm00001d018827_T001_1, Zm00001d012904_T001_1","Zm00008a015744_C01_1, Zm00008a023497_C01_1"
OG0000276,Zm00001d049774_T001_1,Zm00008a015745_C01_1
OG0000276,Zm00001d049781_T001_1,Zm00008a015748_C01_1
OG0000276,Zm00001d049777_T001_1,Zm00008a015747_C01_1
OG0002705,Zm00001d049761_T009_1,Zm00008a015730_C01_1
OG0003418,Zm00001d049785_T003_1,Zm00008a015750_C01_1
OG0003779,Zm00001d049786_T001_1,Zm00008a015751_C01_1
OG0011997,Zm00001d049805_T001_1,Zm00008a015762_C01_1
OG0001549,Zm00001d049806_T001_1,Zm00008a015763_C01_1
OG0014574,Zm00001d049807_T001_1,"Zm00008a015764_C01_1, Zm00008a003345_C01_1"
OG0009133,Zm00001d049798_T002_1,Zm00008a015758_C01_1
OG0002644,Zm00001d049800_T001_1,Zm00008a015759_C01_1
OG0011731,Zm00001d049809_T001_1,Zm00008a015766_C01_1
OG0009117,Zm00001d049813_T001_1,Zm00008a015770_C01_1
OG0002502,Zm00001d049815_T002_1,Zm00008a015771_C01_1
OG0002247,Zm00001d049822_T001_1,Zm00008a015778_C01_1
OG0004166,Zm00001d049821_T001_1,Zm00008a015777_C01_1
OG0008533,Zm00001d049817_T003_1,Zm00008a015774_C01_1
OG0002284,Zm00001d049831_T001_1,Zm00008a015786_C01_1
OG0000605,Zm00001d049830_T002_1,Zm00008a015785_C01_1
OG0007637,Zm00001d049823_T001_1,Zm00008a015780_C01_1
OG0005569,Zm00001d049826_T001_1,"Zm00008a015784_C01_1, Zm00008a003367_C01_1"
OG0002247,Zm00001d049824_T002_1,Zm00008a015781_C01_1
OG0019305,"Zm00001d024384_T001_1, Zm00001d037306_T001_1","Zm00008a015782_C01_1, Zm00008a035138_C01_1"
OG0000533,Zm00001d049838_T001_1,Zm00008a015790_C01_1
OG0011262,"Zm00001d049834_T001_1, Zm00001d031636_T001_1","Zm00008a015788_C01_1, Zm00008a003372_C01_1"
OG0003942,Zm00001d031637_T004_1,"Zm00008a015789_C01_1, Zm00008a003373_C01_1"
OG0000533,Zm00001d049840_T001_1,Zm00008a015791_C01_1
OG0000533,"Zm00001d049841_T001_1, Zm00001d049842_T001_1",Zm00008a015792_C01_1
OG0000533,Zm00001d049844_T001_1,Zm00008a015796_C01_1
OG0000533,Zm00001d049843_T001_1,Zm00008a015795_C01_1
OG0010761,Zm00001d049851_T001_1,Zm00008a015800_C01_1
OG0008080,Zm00001d049855_T002_1,Zm00008a015804_C01_1
OG0017269,Zm00001d049854_T001_1,Zm00008a015803_C01_1
OG0020603,Zm00001d050286_T001_1,"Zm00008a015801_C01_1, Zm00008a037990_C01_1"
OG0002608,Zm00001d049858_T001_1,Zm00008a015807_C01_1
OG0002586,Zm00001d049857_T002_1,Zm00008a015806_C01_1
OG0018191,Zm00001d049856_T002_1,Zm00008a015805_C01_1
OG0014550,Zm00001d049865_T001_1,Zm00008a015811_C01_1
OG0009514,Zm00001d049860_T001_1,Zm00008a015808_C01_1
OG0017277,"Zm00001d016759_T001_1, Zm00001d049861_T001_1","Zm00008a015809_C01_1, Zm00008a039935_C01_1"
OG0020776,Zm00001d049871_T001_1,Zm00008a015817_C01_1
OG0011893,Zm00001d049873_T001_1,Zm00008a015819_C01_1
OG0001924,Zm00001d049872_T001_1,Zm00008a015818_C01_1
OG0011247,Zm00001d049880_T001_1,Zm00008a015823_C01_1
OG0017627,Zm00001d049882_T001_1,Zm00008a015825_C01_1
OG0000963,Zm00001d049884_T006_1,Zm00008a015829_C01_1
OG0010836,Zm00001d049886_T001_1,Zm00008a015830_C01_1
OG0006918,Zm00001d049888_T003_1,Zm00008a015831_C01_1
OG0004035,Zm00001d049892_T001_1,Zm00008a015833_C01_1
OG0004138,Zm00001d049894_T011_1,Zm00008a015836_C01_1
OG0003377,Zm00001d028886_T001_1,Zm00008a015835_C01_1
OG0001673,Zm00001d049899_T001_1,Zm00008a015837_C01_1
OG0000144,Zm00001d049906_T001_1,Zm00008a015842_C01_1
OG0004379,Zm00001d049905_T001_1,Zm00008a015841_C01_1
OG0000278,Zm00001d049903_T001_1,Zm00008a015839_C01_1
OG0010848,Zm00001d049911_T001_1,Zm00008a015844_C01_1
OG0000982,Zm00001d049910_T001_1,Zm00008a015843_C01_1
OG0006635,Zm00001d049916_T001_1,Zm00008a015848_C01_1
OG0016416,Zm00001d049921_T001_1,Zm00008a015851_C01_1
OG0006574,Zm00001d049922_T002_1,Zm00008a015852_C01_1
OG0012621,"Zm00001d049920_T001_1, Zm00001d031921_T001_1",Zm00008a015850_C01_1
OG0009358,Zm00001d049913_T001_1,Zm00008a015846_C01_1
OG0008061,Zm00001d049914_T002_1,Zm00008a015847_C01_1
OG0017662,Zm00001d005715_T002_1,Zm00008a015845_C01_1
OG0000138,Zm00001d049925_T001_1,Zm00008a015854_C01_1
OG0010927,Zm00001d049929_T002_1,Zm00008a015858_C01_1
OG0016625,Zm00001d049932_T001_1,Zm00008a015860_C01_1
OG0003189,Zm00001d049926_T001_1,Zm00008a015855_C01_1
OG0001690,Zm00001d049928_T005_1,Zm00008a015857_C01_1
OG0004694,Zm00001d049939_T001_1,Zm00008a015867_C01_1
OG0010867,Zm00001d049940_T002_1,Zm00008a015868_C01_1
OG0001327,Zm00001d049942_T001_1,Zm00008a015870_C01_1
OG0007560,Zm00001d049938_T011_1,Zm00008a015866_C01_1
OG0002100,Zm00001d020327_T001_1,Zm00008a015865_C01_1
OG0001038,Zm00001d049945_T002_1,Zm00008a015871_C01_1
OG0003131,Zm00001d049948_T001_1,Zm00008a015873_C01_1
OG0000307,Zm00001d049950_T001_1,Zm00008a015876_C01_1
OG0000558,Zm00001d049952_T001_1,Zm00008a015877_C01_1
OG0000306,Zm00001d036983_T001_1,"Zm00008a015878_C01_1, Zm00008a008190_C01_1"
OG0003763,Zm00001d049954_T001_1,Zm00008a015879_C01_1
OG0003278,Zm00001d049956_T002_1,Zm00008a015880_C01_1
OG0007172,Zm00001d049958_T004_1,Zm00008a015882_C01_1
OG0004364,Zm00001d049959_T001_1,Zm00008a015883_C01_1
OG0002520,Zm00001d049960_T001_1,Zm00008a015884_C01_1
OG0000281,Zm00001d049957_T001_1,Zm00008a015881_C01_1
OG0003820,Zm00001d049965_T003_1,Zm00008a015886_C01_1
OG0003524,Zm00001d049966_T001_1,Zm00008a015887_C01_1
OG0004659,Zm00001d049964_T001_1,Zm00008a015885_C01_1
OG0001838,Zm00001d049974_T004_1,Zm00008a015889_C01_1
OG0002989,Zm00001d049970_T001_1,Zm00008a015888_C01_1
OG0002549,Zm00001d049979_T001_1,Zm00008a015893_C01_1
OG0013569,Zm00001d049984_T001_1,Zm00008a015898_C01_1
OG0008705,Zm00001d049986_T001_1,Zm00008a015900_C01_1
OG0004952,Zm00001d049987_T001_1,Zm00008a015902_C01_1
OG0000376,Zm00001d036220_T001_1,Zm00008a015903_C01_1
OG0000376,Zm00001d049988_T001_1,Zm00008a015904_C01_1
OG0006806,Zm00001d049985_T001_1,Zm00008a015899_C01_1
OG0000855,Zm00001d049989_T001_1,Zm00008a015905_C01_1
OG0007267,Zm00001d049990_T001_1,Zm00008a015906_C01_1
OG0014676,Zm00001d049991_T001_1,Zm00008a015907_C01_1
OG0001581,Zm00001d049995_T001_1,Zm00008a015911_C01_1
OG0006790,"Zm00001d049996_T001_1, Zm00001d049997_T001_1",Zm00008a015913_C01_1
OG0016681,"Zm00001d042101_T001_1, Zm00001d034926_T001_1","Zm00008a015917_C01_1, Zm00008a038573_C01_1, Zm00008a033829_C01_1, Zm00008a036000_C01_1"
OG0003635,Zm00001d050000_T001_1,Zm00008a015915_C01_1
OG0001340,Zm00001d050012_T001_1,Zm00008a015923_C01_1
OG0000799,Zm00001d050011_T004_1,Zm00008a015922_C01_1
OG0019529,Zm00001d050009_T001_1,"Zm00008a015920_C01_1, Zm00008a002454_C01_1, Zm00008a021251_C01_1"
OG0004705,Zm00001d050016_T001_1,Zm00008a015925_C01_1
OG0002143,Zm00001d050017_T001_1,Zm00008a015926_C01_1
OG0002218,Zm00001d050018_T007_1,Zm00008a015927_C01_1
OG0005332,Zm00001d050021_T001_1,Zm00008a015930_C01_1
OG0006904,Zm00001d050020_T003_1,Zm00008a015929_C01_1
OG0007995,Zm00001d050022_T001_1,Zm00008a015931_C01_1
OG0014852,Zm00001d050023_T001_1,Zm00008a015932_C01_1
OG0012973,Zm00001d050033_T002_1,Zm00008a015941_C01_1
OG0001021,Zm00001d050039_T001_1,Zm00008a015945_C01_1
OG0018127,Zm00001d050048_T001_1,Zm00008a015947_C01_1
OG0005418,Zm00001d050043_T003_1,Zm00008a015946_C01_1
OG0004996,Zm00001d032123_T001_1,Zm00008a015951_C01_1
OG0007969,Zm00001d050059_T001_1,Zm00008a015952_C01_1
OG0001733,Zm00001d050063_T001_1,Zm00008a015955_C01_1
OG0009026,Zm00001d050061_T001_1,Zm00008a015953_C01_1
OG0000001,Zm00001d050074_T002_1,Zm00008a015960_C01_1
OG0000198,Zm00001d050069_T001_1,Zm00008a015957_C01_1
OG0016677,Zm00001d050076_T001_1,Zm00008a015961_C01_1
OG0008185,Zm00001d050081_T002_1,Zm00008a015966_C01_1
OG0000063,Zm00001d050082_T001_1,Zm00008a015967_C01_1
OG0001411,Zm00001d050089_T003_1,Zm00008a015970_C01_1
OG0002646,Zm00001d050091_T001_1,Zm00008a015974_C01_1
OG0002646,Zm00001d050090_T001_1,Zm00008a015973_C01_1
OG0004012,Zm00001d050095_T001_1,Zm00008a015977_C01_1
OG0002233,Zm00001d050093_T001_1,Zm00008a015976_C01_1
OG0000005,Zm00001d050097_T001_1,Zm00008a015979_C01_1
OG0011920,Zm00001d050099_T001_1,Zm00008a015980_C01_1
OG0010294,Zm00001d050102_T001_1,Zm00008a015982_C01_1
OG0003085,Zm00001d050103_T002_1,Zm00008a015983_C01_1
OG0020712,Zm00001d038278_T001_1,"Zm00008a015985_C01_1, Zm00008a025861_C01_1"
OG0010826,Zm00001d050106_T001_1,Zm00008a015987_C01_1
OG0004040,Zm00001d053351_T001_1,Zm00008a015986_C01_1
OG0008468,Zm00001d033859_T002_1,"Zm00008a015988_C01_1, Zm00008a004054_C01_1, Zm00008a005059_C01_1"
OG0005696,Zm00001d050109_T003_1,Zm00008a015991_C01_1
OG0007833,Zm00001d050112_T011_1,Zm00008a015995_C01_1
OG0006419,Zm00001d050111_T001_1,Zm00008a015994_C01_1
OG0014477,Zm00001d050110_T001_1,Zm00008a015992_C01_1
OG0009913,Zm00001d050119_T001_1,Zm00008a015998_C01_1
OG0010017,Zm00001d050121_T001_1,Zm00008a015999_C01_1
OG0001633,Zm00001d050125_T002_1,Zm00008a016001_C01_1
OG0007119,Zm00001d050130_T003_1,Zm00008a016002_C01_1
OG0003612,Zm00001d050123_T001_1,Zm00008a016000_C01_1
OG0000001,Zm00001d050132_T001_1,Zm00008a016004_C01_1
OG0003793,Zm00001d050133_T001_1,Zm00008a016005_C01_1
OG0001812,Zm00001d050140_T001_1,Zm00008a016009_C01_1
OG0010495,Zm00001d050139_T001_1,Zm00008a016008_C01_1
OG0011220,Zm00001d050143_T001_1,Zm00008a016011_C01_1
OG0008060,Zm00001d050146_T001_1,Zm00008a016012_C01_1
OG0008540,Zm00001d050148_T001_1,Zm00008a016013_C01_1
OG0001812,Zm00001d050141_T001_1,Zm00008a016010_C01_1
OG0008142,Zm00001d050153_T002_1,Zm00008a016018_C01_1
OG0018781,"Zm00001d012113_T001_1, Zm00001d050159_T001_1, Zm00001d018740_T001_1",Zm00008a016026_C01_1
OG0012872,Zm00001d050156_T001_1,Zm00008a016023_C01_1
OG0008488,Zm00001d050155_T001_1,Zm00008a016022_C01_1
OG0006573,Zm00001d050157_T001_1,Zm00008a016025_C01_1
OG0005848,Zm00001d045903_T001_1,"Zm00008a016020_C01_1, Zm00008a037352_C01_1"
OG0015745,Zm00001d050164_T001_1,Zm00008a016030_C01_1
OG0007899,"Zm00001d050165_T001_1, Zm00001d010741_T001_1",Zm00008a016031_C01_1
OG0000280,Zm00001d050170_T001_1,Zm00008a016033_C01_1
OG0006272,Zm00001d050173_T001_1,Zm00008a016037_C01_1
OG0009995,Zm00001d050174_T002_1,Zm00008a016038_C01_1
OG0011155,Zm00001d024082_T001_1,Zm00008a016036_C01_1
OG0000004,"Zm00001d018153_T001_1, Zm00001d039814_T001_1","Zm00008a016034_C01_1, Zm00008a006410_C01_1"
OG0011655,Zm00001d050179_T001_1,Zm00008a016045_C01_1
OG0016944,Zm00001d039417_T002_1,Zm00008a016047_C01_1
OG0012800,Zm00001d050178_T001_1,Zm00008a016044_C01_1
OG0016102,Zm00001d050180_T001_1,Zm00008a016048_C01_1
OG0002421,Zm00001d050184_T010_1,Zm00008a016050_C01_1
OG0008648,Zm00001d050182_T001_1,Zm00008a016049_C01_1
OG0013636,Zm00001d050185_T002_1,Zm00008a016051_C01_1
OG0009312,Zm00001d050187_T001_1,Zm00008a016053_C01_1
OG0000332,Zm00001d050186_T001_1,Zm00008a016052_C01_1
OG0017652,Zm00001d050192_T001_1,Zm00008a016057_C01_1
OG0001632,Zm00001d050191_T003_1,Zm00008a016056_C01_1
OG0003086,Zm00001d050190_T001_1,Zm00008a016055_C01_1
OG0001815,Zm00001d050193_T001_1,Zm00008a016058_C01_1
OG0001809,"Zm00001d050198_T002_1, Zm00001d050196_T001_1",Zm00008a016062_C01_1
OG0001927,Zm00001d017458_T003_1,Zm00008a016072_C01_1
OG0002671,Zm00001d050201_T001_1,Zm00008a016068_C01_1
OG0000059,Zm00001d050211_T001_1,Zm00008a016080_C01_1
OG0013443,Zm00001d047250_T001_1,"Zm00008a016081_C01_1, Zm00008a035149_C01_1"
OG0003769,Zm00001d050208_T003_1,Zm00008a016076_C01_1
OG0001305,Zm00001d050218_T001_1,Zm00008a016086_C01_1
OG0000141,Zm00001d050214_T001_1,Zm00008a016083_C01_1
OG0006069,Zm00001d050216_T003_1,Zm00008a016085_C01_1
OG0005265,Zm00001d050219_T004_1,Zm00008a016090_C01_1
OG0016125,Zm00001d050222_T001_1,Zm00008a016091_C01_1
OG0016988,Zm00001d050224_T002_1,Zm00008a016092_C01_1
OG0011828,Zm00001d050225_T001_1,Zm00008a016093_C01_1
OG0012546,Zm00001d050227_T001_1,Zm00008a016094_C01_1
OG0010796,Zm00001d050234_T001_1,Zm00008a016096_C01_1
OG0004194,Zm00001d050241_T001_1,Zm00008a016098_C01_1
OG0003610,Zm00001d050244_T002_1,Zm00008a016103_C01_1
OG0007693,Zm00001d050242_T002_1,Zm00008a016099_C01_1
OG0009466,Zm00001d050243_T001_1,Zm00008a016100_C01_1
OG0004986,Zm00001d050245_T001_1,Zm00008a016104_C01_1
OG0007539,Zm00001d050253_T002_1,Zm00008a016108_C01_1
OG0013561,Zm00001d032267_T003_1,Zm00008a016107_C01_1
