Duplicate_ID	Anc_Gene	B1_Cluster	B2_Cluster	P1_Cluster	P2_Cluster	B1_Genes	B2_Genes	P1_Genes	P2_Genes
Syntenic_Dup_0566	Sobic.002G219200	Cluster_0622	NA	Cluster_1054	NA	Zm00001d020651,Zm00001d020652	NA	Zm00008a028196,Zm00008a028197	NA
Syntenic_Dup_0567	Sobic.002G219900	NA	NA	Cluster_1055	NA	Zm00001d020664	NA	Zm00008a028204,Zm00008a028205	NA
Syntenic_Dup_0568	Sobic.002G220000	NA	Cluster_0169	NA	NA	NA	Zm00001d005878,Zm00001d005879	NA	Zm00008a009015
Syntenic_Dup_0569	Sobic.002G222600	NA	Cluster_0168	NA	Cluster_0357	NA	Zm00001d005859,Zm00001d005860	NA	Zm00008a009001,Zm00008a009002
Syntenic_Dup_0570	Sobic.002G222700	NA	Cluster_0168	NA	Cluster_0357	NA	Zm00001d005859,Zm00001d005860	NA	Zm00008a009001,Zm00008a009002
Syntenic_Dup_0571	Sobic.002G226900	Cluster_0623	NA	Cluster_1058	NA	Zm00001d020727,Zm00001d020728	NA	Zm00008a028275,Zm00008a028276	NA
Syntenic_Dup_0572	Sobic.002G227700	Cluster_0624	NA	Cluster_1059	NA	Zm00001d020732,Zm00001d020735,Zm00001d020736,Zm00001d020737,Zm00001d020738,Zm00001d020740,Zm00001d020741,Zm00001d020742,Zm00001d020744	NA	Zm00008a028281,Zm00008a028288,Zm00008a028289,Zm00008a028290,Zm00008a028291,Zm00008a028292,Zm00008a028293,Zm00008a028294,Zm00008a028295	NA
Syntenic_Dup_0573	Sobic.002G228000	Cluster_0624	NA	Cluster_1059	NA	Zm00001d020732,Zm00001d020735,Zm00001d020736,Zm00001d020737,Zm00001d020738,Zm00001d020740,Zm00001d020741,Zm00001d020742,Zm00001d020744	NA	Zm00008a028281,Zm00008a028288,Zm00008a028289,Zm00008a028290,Zm00008a028291,Zm00008a028292,Zm00008a028293,Zm00008a028294,Zm00008a028295	NA
Syntenic_Dup_0574	Sobic.002G228100	Cluster_0624	NA	Cluster_1059	NA	Zm00001d020732,Zm00001d020735,Zm00001d020736,Zm00001d020737,Zm00001d020738,Zm00001d020740,Zm00001d020741,Zm00001d020742,Zm00001d020744	NA	Zm00008a028281,Zm00008a028288,Zm00008a028289,Zm00008a028290,Zm00008a028291,Zm00008a028292,Zm00008a028293,Zm00008a028294,Zm00008a028295	NA
Syntenic_Dup_0575	Sobic.002G228200	NA	Cluster_0170	NA	Cluster_0358	NA	Zm00001d005905,Zm00001d005909,Zm00001d005910	NA	Zm00008a009038,Zm00008a009042,Zm00008a009043
Syntenic_Dup_0576	Sobic.002G228400	Cluster_0624	NA	Cluster_1059	NA	Zm00001d020732,Zm00001d020735,Zm00001d020736,Zm00001d020737,Zm00001d020738,Zm00001d020740,Zm00001d020741,Zm00001d020742,Zm00001d020744	NA	Zm00008a028281,Zm00008a028288,Zm00008a028289,Zm00008a028290,Zm00008a028291,Zm00008a028292,Zm00008a028293,Zm00008a028294,Zm00008a028295	NA
Syntenic_Dup_0577	Sobic.002G228500	NA	Cluster_0170	NA	Cluster_0358	NA	Zm00001d005905,Zm00001d005909,Zm00001d005910	NA	Zm00008a009038,Zm00008a009042,Zm00008a009043
Syntenic_Dup_0578	Sobic.002G228700	NA	NA	Cluster_1059	NA	Zm00001d020743	Zm00001d005911	Zm00008a028281,Zm00008a028288,Zm00008a028289,Zm00008a028290,Zm00008a028291,Zm00008a028292,Zm00008a028293,Zm00008a028294,Zm00008a028295	Zm00008a009044
Syntenic_Dup_0579	Sobic.002G228800	Cluster_0625	NA	NA	NA	Zm00001d020746,Zm00001d020747	NA	NA	NA
Syntenic_Dup_0580	Sobic.002G229300	Cluster_0626	NA	Cluster_1060	NA	Zm00001d020750,Zm00001d020751,Zm00001d020752,Zm00001d020754	Zm00001d005913	Zm00008a028299,Zm00008a028300,Zm00008a028301,Zm00008a028302	Zm00008a009046
Syntenic_Dup_0581	Sobic.002G230301	NA	NA	NA	Cluster_0359	Zm00001d020768	Zm00001d005923	Zm00008a028313	Zm00008a009054,Zm00008a009055
Syntenic_Dup_0582	Sobic.002G230500	NA	NA	NA	Cluster_0359	Zm00001d020770	Zm00001d005924	Zm00008a028315	Zm00008a009054,Zm00008a009055
Syntenic_Dup_0583	Sobic.002G231100	NA	NA	NA	Cluster_0360	Zm00001d020774	Zm00001d005931	Zm00008a028320	Zm00008a009061,Zm00008a009062
Syntenic_Dup_0584	Sobic.002G231900	NA	Cluster_0171	NA	NA	Zm00001d020781	Zm00001d005933,Zm00001d005934,Zm00001d005935	Zm00008a028323	Zm00008a009064
Syntenic_Dup_0585	Sobic.002G232800	Cluster_0627	Cluster_0172	NA	NA	Zm00001d020789,Zm00001d020791	Zm00001d005936,Zm00001d005940	Zm00008a028330	Zm00008a009065
Syntenic_Dup_0586	Sobic.002G233000	Cluster_0627	Cluster_0172	NA	NA	Zm00001d020789,Zm00001d020791	Zm00001d005936,Zm00001d005940	Zm00008a028332	Zm00008a009068
Syntenic_Dup_0587	Sobic.002G233200	Cluster_0628	NA	NA	NA	Zm00001d020793,Zm00001d020794	NA	Zm00008a028333	NA
Syntenic_Dup_0588	Sobic.002G233800	Cluster_0629	NA	NA	NA	Zm00001d020804,Zm00001d020805	Zm00001d005951	Zm00008a028338	Zm00008a009073
Syntenic_Dup_0589	Sobic.002G234200	NA	NA	Cluster_1061	NA	Zm00001d020808	NA	Zm00008a028334,Zm00008a028341	NA
Syntenic_Dup_0590	Sobic.002G236800	Cluster_0630	NA	NA	NA	Zm00001d020839,Zm00001d020840	NA	NA	NA
Syntenic_Dup_0591	Sobic.002G237000	Cluster_0630	NA	NA	NA	Zm00001d020839,Zm00001d020840	Zm00001d005971	Zm00008a028368	NA
Syntenic_Dup_0592	Sobic.002G238200	NA	Cluster_0173	NA	Cluster_0361	Zm00001d020857	Zm00001d005973,Zm00001d005974	Zm00008a028374	Zm00008a009091,Zm00008a009092
Syntenic_Dup_0593	Sobic.002G240000	Cluster_0631	NA	Cluster_1062	NA	Zm00001d020863,Zm00001d020864	NA	Zm00008a028379,Zm00008a028380	NA
Syntenic_Dup_0594	Sobic.002G240300	Cluster_0631	NA	Cluster_1062	NA	Zm00001d020863,Zm00001d020864	NA	Zm00008a028379,Zm00008a028380	NA
Syntenic_Dup_0595	Sobic.002G242900	Cluster_0632	NA	NA	NA	Zm00001d020886,Zm00001d020887	NA	Zm00008a028391	NA
Syntenic_Dup_0596	Sobic.002G243000	Cluster_0632	NA	NA	NA	Zm00001d020886,Zm00001d020887	NA	Zm00008a028391	NA
Syntenic_Dup_0597	Sobic.002G245600	NA	Cluster_0174	NA	NA	NA	Zm00001d006013,Zm00001d006014	NA	Zm00008a009115
Syntenic_Dup_0598	Sobic.002G250000	Cluster_0633	NA	Cluster_1063	NA	Zm00001d020957,Zm00001d020958,Zm00001d020961	Zm00001d006037	Zm00008a028444,Zm00008a028445,Zm00008a028446,Zm00008a028447	Zm00008a009138
Syntenic_Dup_0599	Sobic.002G250900	Cluster_0634	NA	NA	NA	Zm00001d020967,Zm00001d020968	NA	NA	NA
Syntenic_Dup_0600	Sobic.002G251000	Cluster_0634	NA	NA	NA	Zm00001d020967,Zm00001d020968	NA	Zm00008a028456	NA
Syntenic_Dup_0601	Sobic.002G254900	Cluster_0635	NA	NA	NA	Zm00001d021016,Zm00001d021017	NA	Zm00008a028538	NA
Syntenic_Dup_0602	Sobic.002G255000	Cluster_0635	NA	NA	NA	Zm00001d021016,Zm00001d021017	NA	Zm00008a028537	NA
Syntenic_Dup_0603	Sobic.002G255100	Cluster_0636	NA	Cluster_1065	NA	Zm00001d021018,Zm00001d021020	Zm00001d006064	Zm00008a028534,Zm00008a028536	Zm00008a009158
Syntenic_Dup_0604	Sobic.002G255400	NA	NA	Cluster_1065	NA	Zm00001d021021	NA	Zm00008a028534,Zm00008a028536	NA
Syntenic_Dup_0605	Sobic.002G257100	Cluster_0637	NA	Cluster_1064	NA	Zm00001d021047,Zm00001d021048	NA	Zm00008a028516,Zm00008a028517	NA
Syntenic_Dup_0606	Sobic.002G261000	Cluster_0638	NA	Cluster_1057	NA	Zm00001d021093,Zm00001d021094,Zm00001d021095	NA	Zm00008a028254,Zm00008a028255,Zm00008a028256	NA
Syntenic_Dup_0607	Sobic.002G264100	Cluster_0641	NA	NA	NA	Zm00001d021189,Zm00001d021191	Zm00001d006127	Zm00008a028593	Zm00008a009209
Syntenic_Dup_0608	Sobic.002G265400	NA	Cluster_0175	NA	Cluster_0362	NA	Zm00001d006137,Zm00001d006140,Zm00001d006145	NA	Zm00008a009217,Zm00008a009218
Syntenic_Dup_0609	Sobic.002G265600	Cluster_0640	Cluster_0175	Cluster_1067	Cluster_0362	Zm00001d021167,Zm00001d021168	Zm00001d006137,Zm00001d006140,Zm00001d006145	Zm00008a028582,Zm00008a028583	Zm00008a009217,Zm00008a009218
Syntenic_Dup_0610	Sobic.002G266000	NA	Cluster_0176	NA	NA	Zm00001d021169	Zm00001d006142,Zm00001d006147	Zm00008a028580	Zm00008a009219
Syntenic_Dup_0611	Sobic.002G266800	NA	Cluster_0177	NA	NA	NA	Zm00001d006143,Zm00001d006148	NA	Zm00008a009220
Syntenic_Dup_0612	Sobic.002G266900	NA	Cluster_0178	NA	Cluster_0363	NA	Zm00001d006144,Zm00001d006149	NA	Zm00008a009221,Zm00008a009222
Syntenic_Dup_0613	Sobic.002G267100	NA	NA	NA	Cluster_0363	Zm00001d021164	Zm00001d006150	Zm00008a028576	Zm00008a009221,Zm00008a009222
Syntenic_Dup_0614	Sobic.002G267700	Cluster_0641	NA	NA	NA	Zm00001d021189,Zm00001d021191	Zm00001d006157	NA	NA
Syntenic_Dup_0615	Sobic.002G269100	Cluster_0642	Cluster_0179	NA	NA	Zm00001d021205,Zm00001d021207,Zm00001d021208,Zm00001d021214	Zm00001d006169,Zm00001d006170	Zm00008a028606	Zm00008a009242
Syntenic_Dup_0616	Sobic.002G269500	Cluster_0642	Cluster_0179	NA	NA	Zm00001d021205,Zm00001d021207,Zm00001d021208,Zm00001d021214	Zm00001d006169,Zm00001d006170	Zm00008a028607	Zm00008a009242
Syntenic_Dup_0617	Sobic.002G271200	NA	NA	Cluster_1068	NA	Zm00001d021249	NA	Zm00008a028633,Zm00008a028634	NA
Syntenic_Dup_0618	Sobic.002G272700	NA	Cluster_0180	NA	Cluster_0364	NA	Zm00001d006193,Zm00001d006199,Zm00001d006203	NA	Zm00008a009248,Zm00008a009253,Zm00008a009254
Syntenic_Dup_0619	Sobic.002G274500	Cluster_0644	NA	Cluster_1069	NA	Zm00001d021285,Zm00001d021290	Zm00001d006209	Zm00008a028661,Zm00008a028668	Zm00008a009257
Syntenic_Dup_0620	Sobic.002G275000	Cluster_0644	NA	Cluster_1069	NA	Zm00001d021285,Zm00001d021290	NA	Zm00008a028661,Zm00008a028668	NA
Syntenic_Dup_0621	Sobic.002G278200	Cluster_0695	NA	NA	NA	Zm00001d022637,Zm00001d022643	NA	Zm00008a029768	NA
Syntenic_Dup_0622	Sobic.002G278300	Cluster_0695	NA	NA	NA	Zm00001d022637,Zm00001d022643	NA	Zm00008a029766	NA
Syntenic_Dup_0623	Sobic.002G280200	Cluster_0694	NA	NA	NA	Zm00001d022617,Zm00001d022618	NA	Zm00008a029749	NA
Syntenic_Dup_0624	Sobic.002G280300	Cluster_0694	NA	NA	NA	Zm00001d022617,Zm00001d022618	NA	Zm00008a029748	NA
Syntenic_Dup_0625	Sobic.002G283000	NA	Cluster_0182	NA	Cluster_0365	Zm00001d022592	Zm00001d006260,Zm00001d006263	Zm00008a029726	Zm00008a009298,Zm00008a009299,Zm00008a009300
Syntenic_Dup_0626	Sobic.002G285950	Cluster_0647	Cluster_0184	Cluster_1071	NA	Zm00001d021454,Zm00001d021455,Zm00001d021456,Zm00001d021457,Zm00001d021459	Zm00001d006278,Zm00001d006281	Zm00008a028807,Zm00008a028809	Zm00008a009310
Syntenic_Dup_0627	Sobic.002G289800	NA	Cluster_0185	NA	NA	Zm00001d021433	Zm00001d006298,Zm00001d006306	Zm00008a040113	NA
Syntenic_Dup_0628	Sobic.002G290100	NA	Cluster_0186	NA	NA	NA	Zm00001d006300,Zm00001d006301,Zm00001d006307	NA	Zm00008a009335
Syntenic_Dup_0629	Sobic.002G290300	NA	Cluster_0186	NA	NA	Zm00001d021426	Zm00001d006300,Zm00001d006301,Zm00001d006307	Zm00008a028780	Zm00008a009336
Syntenic_Dup_0630	Sobic.002G290800	Cluster_0646	NA	Cluster_1070	NA	Zm00001d021423,Zm00001d021424	NA	Zm00008a028776,Zm00008a028777	NA
Syntenic_Dup_0631	Sobic.002G290900	Cluster_0646	NA	Cluster_1070	NA	Zm00001d021423,Zm00001d021424	NA	Zm00008a028776,Zm00008a028777	NA
Syntenic_Dup_0632	Sobic.002G291500	NA	Cluster_0187	NA	NA	Zm00001d021418	Zm00001d006312,Zm00001d006313	Zm00008a028770	Zm00008a009342
Syntenic_Dup_0633	Sobic.002G297000	NA	Cluster_0188	NA	Cluster_0369	NA	Zm00001d006340,Zm00001d006341,Zm00001d006342	NA	Zm00008a009367,Zm00008a009368,Zm00008a009369
Syntenic_Dup_0634	Sobic.002G301300	Cluster_0648	NA	NA	NA	Zm00001d021484,Zm00001d021485	NA	Zm00008a028836	NA
Syntenic_Dup_0635	Sobic.002G303000	Cluster_0649	NA	Cluster_1073	NA	Zm00001d021491,Zm00001d021492	NA	Zm00008a028848,Zm00008a028849	NA
Syntenic_Dup_0636	Sobic.002G303100	Cluster_0649	NA	Cluster_1073	NA	Zm00001d021491,Zm00001d021492	NA	Zm00008a028848,Zm00008a028849	NA
Syntenic_Dup_0637	Sobic.002G304900	Cluster_0650	NA	Cluster_1074	NA	Zm00001d021508,Zm00001d021511	Zm00001d006388	Zm00008a028860,Zm00008a028862	Zm00008a009409
Syntenic_Dup_0638	Sobic.002G310200	NA	NA	Cluster_1075	NA	NA	NA	Zm00008a028905,Zm00008a028906	NA
Syntenic_Dup_0639	Sobic.002G311300	Cluster_0651	Cluster_0189	Cluster_1076	NA	Zm00001d021571,Zm00001d021572,Zm00001d021576,Zm00001d021577	Zm00001d006446,Zm00001d006449,Zm00001d006450	Zm00008a028915,Zm00008a028916	Zm00008a009448
Syntenic_Dup_0640	Sobic.002G311400	Cluster_0651	NA	Cluster_1076	NA	Zm00001d021571,Zm00001d021572,Zm00001d021576,Zm00001d021577	NA	Zm00008a028915,Zm00008a028916	NA
Syntenic_Dup_0641	Sobic.002G311501	Cluster_0651	Cluster_0189	NA	Cluster_0370	Zm00001d021571,Zm00001d021572,Zm00001d021576,Zm00001d021577	Zm00001d006446,Zm00001d006449,Zm00001d006450	Zm00008a028918	Zm00008a009449,Zm00008a009453,Zm00008a009454
Syntenic_Dup_0642	Sobic.002G311700	Cluster_0651	Cluster_0189	NA	Cluster_0370	Zm00001d021571,Zm00001d021572,Zm00001d021576,Zm00001d021577	Zm00001d006446,Zm00001d006449,Zm00001d006450	Zm00008a028918	Zm00008a009449,Zm00008a009453,Zm00008a009454
Syntenic_Dup_0643	Sobic.002G312000	NA	Cluster_0189	NA	Cluster_0370	NA	Zm00001d006446,Zm00001d006449,Zm00001d006450	NA	Zm00008a009449,Zm00008a009453,Zm00008a009454
Syntenic_Dup_0644	Sobic.002G312000	Cluster_0651	Cluster_0189	NA	Cluster_0370	Zm00001d021571,Zm00001d021572,Zm00001d021576,Zm00001d021577	Zm00001d006446,Zm00001d006449,Zm00001d006450	Zm00008a028918	Zm00008a009449,Zm00008a009453,Zm00008a009454
Syntenic_Dup_0645	Sobic.002G315000	Cluster_0652	NA	NA	NA	Zm00001d021602,Zm00001d021605	NA	NA	NA
Syntenic_Dup_0646	Sobic.002G318300	NA	Cluster_0191	NA	Cluster_0371	Zm00001d021629	Zm00001d006493,Zm00001d006494	Zm00008a028964	Zm00008a009481,Zm00008a009482
Syntenic_Dup_0647	Sobic.002G318501	Cluster_0653	NA	Cluster_1077	NA	Zm00001d021630,Zm00001d021632	Zm00001d006495	Zm00008a028965,Zm00008a028966	Zm00008a009483
Syntenic_Dup_0648	Sobic.002G320800	NA	Cluster_0192	NA	NA	Zm00001d021642	Zm00001d006505,Zm00001d006506	Zm00008a039743	Zm00008a009490
Syntenic_Dup_0649	Sobic.002G322500	NA	Cluster_0193	NA	Cluster_0372	NA	Zm00001d006515,Zm00001d006516	NA	Zm00008a009499,Zm00008a009500
Syntenic_Dup_0650	Sobic.002G322600	NA	Cluster_0193	NA	Cluster_0372	NA	Zm00001d006515,Zm00001d006516	NA	Zm00008a009499,Zm00008a009500
Syntenic_Dup_0651	Sobic.002G322800	Cluster_0654	NA	Cluster_1078	NA	Zm00001d021655,Zm00001d021656	NA	Zm00008a028986,Zm00008a028987	NA
Syntenic_Dup_0652	Sobic.002G322900	Cluster_0654	NA	Cluster_1078	NA	Zm00001d021655,Zm00001d021656	NA	Zm00008a028986,Zm00008a028987	NA
Syntenic_Dup_0653	Sobic.002G325800	NA	Cluster_0194	NA	Cluster_0373	Zm00001d021677	Zm00001d006525,Zm00001d006526	Zm00008a029004	Zm00008a009506,Zm00008a009507
Syntenic_Dup_0654	Sobic.002G327400	Cluster_0655	NA	Cluster_1079	NA	Zm00001d021682,Zm00001d021683,Zm00001d021684,Zm00001d021686,Zm00001d021688,Zm00001d021689,Zm00001d021692,Zm00001d021693,Zm00001d021696,Zm00001d021698,Zm00001d021699	Zm00001d006534	Zm00008a029006,Zm00008a029007,Zm00008a029008,Zm00008a029010,Zm00008a029012,Zm00008a029013,Zm00008a029015,Zm00008a029017,Zm00008a029021,Zm00008a029026	Zm00008a009513
Syntenic_Dup_0655	Sobic.002G327700	Cluster_0655	Cluster_0195	Cluster_1079	NA	Zm00001d021682,Zm00001d021683,Zm00001d021684,Zm00001d021686,Zm00001d021688,Zm00001d021689,Zm00001d021692,Zm00001d021693,Zm00001d021696,Zm00001d021698,Zm00001d021699	Zm00001d006527,Zm00001d006531,Zm00001d006535,Zm00001d006536	Zm00008a029006,Zm00008a029007,Zm00008a029008,Zm00008a029010,Zm00008a029012,Zm00008a029013,Zm00008a029015,Zm00008a029017,Zm00008a029021,Zm00008a029026	Zm00008a009515
Syntenic_Dup_0656	Sobic.002G328600	Cluster_0656	NA	Cluster_1080	NA	Zm00001d021690,Zm00001d021695,Zm00001d021697	Zm00001d006538	Zm00008a029014,Zm00008a029019,Zm00008a029025	Zm00008a009516
Syntenic_Dup_0657	Sobic.002G328900	Cluster_0655	Cluster_0195	Cluster_1079	NA	Zm00001d021682,Zm00001d021683,Zm00001d021684,Zm00001d021686,Zm00001d021688,Zm00001d021689,Zm00001d021692,Zm00001d021693,Zm00001d021696,Zm00001d021698,Zm00001d021699	Zm00001d006527,Zm00001d006531,Zm00001d006535,Zm00001d006536	Zm00008a029006,Zm00008a029007,Zm00008a029008,Zm00008a029010,Zm00008a029012,Zm00008a029013,Zm00008a029015,Zm00008a029017,Zm00008a029021,Zm00008a029026	Zm00008a009515
Syntenic_Dup_0658	Sobic.002G329900	Cluster_0657	Cluster_0196	Cluster_1081	Cluster_0375	Zm00001d021706,Zm00001d021707	Zm00001d006547,Zm00001d006548	Zm00008a029033,Zm00008a029034	Zm00008a009522,Zm00008a009523
Syntenic_Dup_0659	Sobic.002G333500	Cluster_0658	NA	Cluster_1083	NA	Zm00001d021726,Zm00001d021727,Zm00001d021729,Zm00001d021737	NA	Zm00008a029052,Zm00008a029059	NA
Syntenic_Dup_0660	Sobic.002G334200	Cluster_0659	NA	Cluster_1084	NA	Zm00001d021731,Zm00001d021732,Zm00001d021736	Zm00001d006571	Zm00008a029054,Zm00008a029057	Zm00008a009542
Syntenic_Dup_0661	Sobic.002G334300	Cluster_0659	NA	Cluster_1084	NA	Zm00001d021731,Zm00001d021732,Zm00001d021736	NA	Zm00008a029054,Zm00008a029057	NA
Syntenic_Dup_0662	Sobic.002G335400	Cluster_0661	NA	Cluster_1082	NA	Zm00001d021740,Zm00001d021744	NA	Zm00008a029049,Zm00008a029061,Zm00008a029063	NA
Syntenic_Dup_0663	Sobic.002G337400	Cluster_0663	NA	Cluster_1087	NA	Zm00001d021755,Zm00001d021757	NA	Zm00008a029071,Zm00008a029072	NA
Syntenic_Dup_0664	Sobic.002G338000	NA	NA	Cluster_1088	NA	Zm00001d021763	Zm00001d006587	Zm00008a029081,Zm00008a029092	Zm00008a009553
Syntenic_Dup_0665	Sobic.002G338250	Cluster_0664	NA	NA	NA	Zm00001d021772,Zm00001d021773	NA	NA	NA
Syntenic_Dup_0666	Sobic.002G338300	Cluster_0664	NA	NA	NA	Zm00001d021772,Zm00001d021773	NA	Zm00008a029083	NA
Syntenic_Dup_0667	Sobic.002G339200	NA	NA	Cluster_1088	Cluster_0376	Zm00001d021784	Zm00001d006592	Zm00008a029081,Zm00008a029092	Zm00008a009557,Zm00008a009561
Syntenic_Dup_0668	Sobic.002G339300	NA	NA	NA	Cluster_0377	Zm00001d021785	Zm00001d006593	Zm00008a029093	Zm00008a009558,Zm00008a009562
Syntenic_Dup_0669	Sobic.002G346900	Cluster_0665	NA	NA	NA	Zm00001d021864,Zm00001d021867	NA	NA	NA
Syntenic_Dup_0670	Sobic.002G347000	Cluster_0666	NA	Cluster_1089	NA	Zm00001d021866,Zm00001d021868	NA	Zm00008a029146,Zm00008a029147,Zm00008a029150	NA
Syntenic_Dup_0671	Sobic.002G348900	NA	NA	NA	Cluster_0378	NA	Zm00001d006649	NA	Zm00008a009605,Zm00008a009606
Syntenic_Dup_0672	Sobic.002G350700	NA	NA	Cluster_1090	NA	Zm00001d021895	NA	Zm00008a029173,Zm00008a029174,Zm00008a029175	Zm00008a009612
Syntenic_Dup_0673	Sobic.002G350800	Cluster_0667	NA	Cluster_1090	NA	Zm00001d021896,Zm00001d021897	NA	Zm00008a029173,Zm00008a029174,Zm00008a029175	NA
Syntenic_Dup_0674	Sobic.002G350901	Cluster_0667	NA	Cluster_1090	NA	Zm00001d021896,Zm00001d021897	NA	Zm00008a029173,Zm00008a029174,Zm00008a029175	NA
Syntenic_Dup_0675	Sobic.002G354501	Cluster_0668	NA	Cluster_1091	NA	Zm00001d021935,Zm00001d021936,Zm00001d021938,Zm00001d021942,Zm00001d021943	Zm00001d006699	Zm00008a029199,Zm00008a029200,Zm00008a029201,Zm00008a029202,Zm00008a029203	Zm00008a009646
Syntenic_Dup_0676	Sobic.002G355400	Cluster_0669	NA	NA	NA	Zm00001d021951,Zm00001d021952	Zm00001d006705	Zm00008a029214	Zm00008a009652
Syntenic_Dup_0677	Sobic.002G355500	Cluster_0669	NA	NA	NA	Zm00001d021951,Zm00001d021952	Zm00001d006708	Zm00008a029215	Zm00008a009653
Syntenic_Dup_0678	Sobic.002G359300	Cluster_0670	NA	Cluster_1092	Cluster_0381	Zm00001d021990,Zm00001d021992	Zm00001d006734	Zm00008a029241,Zm00008a029248	Zm00008a009672,Zm00008a009673,Zm00008a009674,Zm00008a009675,Zm00008a009677,Zm00008a009680
Syntenic_Dup_0679	Sobic.002G359400	Cluster_0671	NA	NA	Cluster_0382	Zm00001d021991,Zm00001d021993	Zm00001d006737	Zm00008a029242	Zm00008a009676,Zm00008a009678
Syntenic_Dup_0680	Sobic.002G360100	NA	NA	Cluster_1092	NA	Zm00001d022002	NA	Zm00008a029241,Zm00008a029248	NA
Syntenic_Dup_0681	Sobic.002G365500	Cluster_0673	Cluster_0200	NA	Cluster_0383	Zm00001d022053,Zm00001d022055,Zm00001d022057	Zm00001d006774,Zm00001d006775	Zm00008a029282	Zm00008a009713,Zm00008a009714
Syntenic_Dup_0682	Sobic.002G365801	Cluster_0673	NA	NA	NA	Zm00001d022053,Zm00001d022055,Zm00001d022057	NA	Zm00008a029283	NA
Syntenic_Dup_0683	Sobic.002G366000	NA	Cluster_0201	NA	NA	Zm00001d022059	Zm00001d006776,Zm00001d006777	Zm00008a029286	Zm00008a009715
Syntenic_Dup_0684	Sobic.002G366300	NA	Cluster_0202	NA	NA	NA	Zm00001d006778,Zm00001d006779	NA	Zm00008a009716
Syntenic_Dup_0685	Sobic.002G368100	Cluster_0674	NA	Cluster_1094	NA	Zm00001d022081,Zm00001d022082	NA	Zm00008a029300,Zm00008a029301	NA
Syntenic_Dup_0686	Sobic.002G369200	Cluster_0675	NA	Cluster_1095	NA	Zm00001d022089,Zm00001d022090	NA	Zm00008a029306,Zm00008a029307	NA
Syntenic_Dup_0687	Sobic.002G372200	Cluster_0676	NA	NA	NA	Zm00001d022117,Zm00001d022120	Zm00001d006841	Zm00008a029345	Zm00008a009764
Syntenic_Dup_0688	Sobic.002G372300	Cluster_0677	NA	NA	NA	Zm00001d022119,Zm00001d022122	NA	Zm00008a029346	NA
Syntenic_Dup_0689	Sobic.002G379500	NA	NA	Cluster_1100	NA	Zm00001d022180	Zm00001d006899	Zm00008a029392,Zm00008a029393	Zm00008a009796
Syntenic_Dup_0690	Sobic.002G381600	Cluster_0678	NA	Cluster_1101	NA	Zm00001d022192,Zm00001d022193	Zm00001d006913	Zm00008a029404,Zm00008a029405	Zm00008a009805
Syntenic_Dup_0691	Sobic.002G384500	Cluster_0680	NA	NA	NA	Zm00001d022217,Zm00001d022222	NA	Zm00008a029424	NA
Syntenic_Dup_0692	Sobic.002G384700	Cluster_0681	Cluster_0203	NA	NA	Zm00001d022218,Zm00001d022223	Zm00001d006923,Zm00001d006924	Zm00008a029424	Zm00008a009814
Syntenic_Dup_0693	Sobic.002G385000	Cluster_0679	NA	NA	NA	Zm00001d022216,Zm00001d022221	NA	NA	NA
Syntenic_Dup_0694	Sobic.002G389100	NA	Cluster_0205	NA	Cluster_0385	Zm00001d022262	Zm00001d006947,Zm00001d006948	Zm00008a029461	Zm00008a009833,Zm00008a009834
Syntenic_Dup_0695	Sobic.002G390000	Cluster_0683	NA	NA	NA	Zm00001d022270,Zm00001d022271	NA	Zm00008a039918	NA
Syntenic_Dup_0696	Sobic.002G391400	Cluster_0684	NA	Cluster_1102	NA	Zm00001d022279,Zm00001d022280,Zm00001d022281,Zm00001d022282,Zm00001d022283,Zm00001d022284,Zm00001d022289,Zm00001d022290	NA	Zm00008a029474,Zm00008a029475,Zm00008a029476,Zm00008a029477,Zm00008a029479,Zm00008a029480	NA
Syntenic_Dup_0697	Sobic.002G391501	NA	Cluster_0204	NA	Cluster_0384	NA	Zm00001d006933,Zm00001d006936,Zm00001d006937	NA	Zm00008a009822,Zm00008a009823,Zm00008a009824
Syntenic_Dup_0698	Sobic.002G391900	Cluster_0684	NA	Cluster_1102	NA	Zm00001d022279,Zm00001d022280,Zm00001d022281,Zm00001d022282,Zm00001d022283,Zm00001d022284,Zm00001d022289,Zm00001d022290	NA	Zm00008a029474,Zm00008a029475,Zm00008a029476,Zm00008a029477,Zm00008a029479,Zm00008a029480	NA
Syntenic_Dup_0699	Sobic.002G394700	Cluster_0685	NA	Cluster_1103	NA	Zm00001d022317,Zm00001d022320,Zm00001d022323,Zm00001d022326,Zm00001d022327	NA	Zm00008a029499,Zm00008a029502,Zm00008a029504,Zm00008a029505	NA
Syntenic_Dup_0700	Sobic.002G399200	Cluster_0687	NA	NA	NA	Zm00001d022356,Zm00001d022360	NA	Zm00008a029525	NA
Syntenic_Dup_0701	Sobic.002G399400	Cluster_0688	NA	NA	NA	Zm00001d022357,Zm00001d022361	NA	Zm00008a029526	NA
Syntenic_Dup_0702	Sobic.002G412200	NA	NA	NA	Cluster_0386	NA	Zm00001d007124	NA	Zm00008a009919,Zm00008a009921
Syntenic_Dup_0703	Sobic.002G412300	NA	Cluster_0206	NA	Cluster_0387	NA	Zm00001d007125,Zm00001d007127,Zm00001d007129	NA	Zm00008a009920,Zm00008a009922
