Cluster_ID	B_Cluster	P_Cluster	B_Genes	P_Genes
Nonsyntenic_Dup_0428	Cluster_0417	Cluster_0750	Zm00001d014722,Zm00001d014721	Zm00008a020531,Zm00008a020530
Nonsyntenic_Dup_0429	Cluster_0418	NA	Zm00001d014731,Zm00001d014732	Zm00008a020539
Nonsyntenic_Dup_0430	Cluster_0420	Cluster_0752	Zm00001d014820,Zm00001d014818,Zm00001d014819,Zm00001d014817	Zm00008a020618,Zm00008a020617,Zm00008a020619
Nonsyntenic_Dup_0431	Cluster_0421	NA	Zm00001d014839,Zm00001d014835	Zm00008a020627
Nonsyntenic_Dup_0432	Cluster_0422	Cluster_0753	Zm00001d014840,Zm00001d014842	Zm00008a020628,Zm00008a020629
Nonsyntenic_Dup_0433	Cluster_0423	NA	Zm00001d014880,Zm00001d014882	Zm00008a020657
Nonsyntenic_Dup_0434	Cluster_0424	Cluster_0754	Zm00001d014903,Zm00001d014906	Zm00008a020674,Zm00008a020675
Nonsyntenic_Dup_0435	Cluster_0425	Cluster_0756	Zm00001d014944,Zm00001d014945	Zm00008a020707,Zm00008a020706
Nonsyntenic_Dup_0436	Cluster_0426	Cluster_0757	Zm00001d014954,Zm00001d014957	Zm00008a020717,Zm00008a020718
Nonsyntenic_Dup_0437	Cluster_0427	Cluster_0758	Zm00001d014973,Zm00001d014968	Zm00008a020737,Zm00008a020732
Nonsyntenic_Dup_0438	NA	Cluster_0759	Zm00001d014972	Zm00008a020738,Zm00008a020735
Nonsyntenic_Dup_0439	NA	Cluster_0759	Zm00001d014974	Zm00008a020738,Zm00008a020735
Nonsyntenic_Dup_0440	Cluster_0428	NA	Zm00001d015005,Zm00001d015006	Zm00008a020760
Nonsyntenic_Dup_0441	Cluster_0429	NA	Zm00001d015019,Zm00001d015018	Zm00008a020769
Nonsyntenic_Dup_0442	NA	Cluster_0760	Zm00001d015044	Zm00008a020785,Zm00008a020789
Nonsyntenic_Dup_0443	Cluster_0431	NA	Zm00001d015047,Zm00001d015041,Zm00001d015052,Zm00001d015057	Zm00008a020787
Nonsyntenic_Dup_0444	NA	Cluster_0761	Zm00001d015050	Zm00008a020790,Zm00008a020802
Nonsyntenic_Dup_0445	Cluster_0431	NA	Zm00001d015047,Zm00001d015041,Zm00001d015052,Zm00001d015057	Zm00008a020791
Nonsyntenic_Dup_0446	Cluster_0432	Cluster_0762	Zm00001d015053,Zm00001d015054	Zm00008a020792,Zm00008a020793
Nonsyntenic_Dup_0447	Cluster_0431	NA	Zm00001d015047,Zm00001d015041,Zm00001d015052,Zm00001d015057	Zm00008a020799
Nonsyntenic_Dup_0448	NA	Cluster_0761	Zm00001d015058	Zm00008a020790,Zm00008a020802
Nonsyntenic_Dup_0449	Cluster_0433	Cluster_0764	Zm00001d015068,Zm00001d015070,Zm00001d015072,Zm00001d015075,Zm00001d015079,Zm00001d015077,Zm00001d015076	Zm00008a020814,Zm00008a020813
Nonsyntenic_Dup_0450	Cluster_0435	NA	Zm00001d015098,Zm00001d015097	Zm00008a020828
Nonsyntenic_Dup_0451	Cluster_0437	Cluster_0766	Zm00001d015224,Zm00001d015217,Zm00001d015216,Zm00001d015220	Zm00008a020910,Zm00008a020906
Nonsyntenic_Dup_0452	Cluster_0438	NA	Zm00001d015234,Zm00001d015239	Zm00008a020918
Nonsyntenic_Dup_0453	Cluster_0439	NA	Zm00001d015253,Zm00001d015255	Zm00008a020931
Nonsyntenic_Dup_0454	Cluster_0440	Cluster_0769	Zm00001d015372,Zm00001d015367	Zm00008a021016,Zm00008a021018
Nonsyntenic_Dup_0455	Cluster_0441	NA	Zm00001d015444,Zm00001d015445	Zm00008a021074
Nonsyntenic_Dup_0456	Cluster_0442	Cluster_0771	Zm00001d015495,Zm00001d015499	Zm00008a021113,Zm00008a021110
Nonsyntenic_Dup_0457	Cluster_0444	Cluster_0773	Zm00001d015578,Zm00001d015579,Zm00001d015592,Zm00001d015589	Zm00008a021166,Zm00008a021171,Zm00008a021173,Zm00008a021163
Nonsyntenic_Dup_0458	Cluster_0447	Cluster_0777	Zm00001d015825,Zm00001d015820,Zm00001d015821	Zm00008a021321,Zm00008a021323
Nonsyntenic_Dup_0459	NA	Cluster_0778	Zm00001d015891	Zm00008a021359,Zm00008a021354
Nonsyntenic_Dup_0460	Cluster_0449	Cluster_0779	Zm00001d015912,Zm00001d015914,Zm00001d015905	Zm00008a021370,Zm00008a021375,Zm00008a021374
Nonsyntenic_Dup_0461	Cluster_0450	Cluster_0780	Zm00001d015963,Zm00001d015964	Zm00008a021403,Zm00008a021404
Nonsyntenic_Dup_0462	Cluster_0451	NA	Zm00001d015975,Zm00001d015976	Zm00008a021415
Nonsyntenic_Dup_0463	NA	Cluster_0781	Zm00001d016000	Zm00008a021436,Zm00008a021437
Nonsyntenic_Dup_0464	Cluster_0452	Cluster_0782	Zm00001d016035,Zm00001d016027,Zm00001d016025,Zm00001d016024,Zm00001d016022	Zm00008a021456,Zm00008a021455,Zm00008a021477,Zm00008a021479,Zm00008a021476,Zm00008a021464
Nonsyntenic_Dup_0465	NA	Cluster_0782	Zm00001d016026	Zm00008a021456,Zm00008a021455,Zm00008a021477,Zm00008a021479,Zm00008a021476,Zm00008a021464
Nonsyntenic_Dup_0466	Cluster_0453	Cluster_0782	Zm00001d016056,Zm00001d016054	Zm00008a021456,Zm00008a021455,Zm00008a021477,Zm00008a021479,Zm00008a021476,Zm00008a021464
Nonsyntenic_Dup_0467	Cluster_0454	Cluster_0783	Zm00001d016085,Zm00001d016087	Zm00008a021503,Zm00008a021507
Nonsyntenic_Dup_0468	Cluster_0455	NA	Zm00001d016120,Zm00001d016121	Zm00008a021529
Nonsyntenic_Dup_0469	Cluster_0456	Cluster_0784	Zm00001d016136,Zm00001d016139,Zm00001d016137,Zm00001d016140,Zm00001d016142,Zm00001d016143,Zm00001d016145	Zm00008a021520,Zm00008a021538,Zm00008a021539,Zm00008a021542,Zm00008a021546,Zm00008a021540,Zm00008a021541,Zm00008a021543
Nonsyntenic_Dup_0470	Cluster_0458	Cluster_0785	Zm00001d016185,Zm00001d016182,Zm00001d016179,Zm00001d016177	Zm00008a021566,Zm00008a021567
Nonsyntenic_Dup_0471	Cluster_0459	NA	Zm00001d016180,Zm00001d016181	Zm00008a021572
Nonsyntenic_Dup_0472	Cluster_0458	NA	Zm00001d016185,Zm00001d016182,Zm00001d016179,Zm00001d016177	Zm00008a021574
Nonsyntenic_Dup_0473	NA	Cluster_0786	Zm00001d016193	Zm00008a021580,Zm00008a021579
Nonsyntenic_Dup_0474	Cluster_0460	NA	Zm00001d016207,Zm00001d016203	Zm00008a021588
Nonsyntenic_Dup_0475	Cluster_0460	Cluster_0788	Zm00001d016207,Zm00001d016203	Zm00008a021590,Zm00008a021589
Nonsyntenic_Dup_0476	Cluster_0461	Cluster_0789	Zm00001d016220,Zm00001d016219	Zm00008a021599,Zm00008a021598
Nonsyntenic_Dup_0477	NA	Cluster_0789	Zm00001d016221	Zm00008a021599,Zm00008a021598
Nonsyntenic_Dup_0478	Cluster_0462	Cluster_0790	Zm00001d016260,Zm00001d016262	Zm00008a021631,Zm00008a021635
Nonsyntenic_Dup_0479	Cluster_0463	Cluster_0792	Zm00001d016306,Zm00001d016307	Zm00008a021665,Zm00008a021666
Nonsyntenic_Dup_0480	Cluster_0464	Cluster_0793	Zm00001d016387,Zm00001d016389,Zm00001d016391,Zm00001d016393	Zm00008a021706,Zm00008a021702,Zm00008a021704
Nonsyntenic_Dup_0481	Cluster_0465	NA	Zm00001d016395,Zm00001d016396	Zm00008a021710
Nonsyntenic_Dup_0482	Cluster_0465	Cluster_0795	Zm00001d016395,Zm00001d016396	Zm00008a021709,Zm00008a021711
Nonsyntenic_Dup_0483	Cluster_0466	Cluster_0796	Zm00001d016417,Zm00001d016414,Zm00001d016415,Zm00001d016435,Zm00001d016431,Zm00001d016429,Zm00001d016428,Zm00001d016420,Zm00001d016427,Zm00001d016424	Zm00008a021724,Zm00008a021726,Zm00008a021727,Zm00008a021723,Zm00008a021728,Zm00008a021729,Zm00008a021731,Zm00008a021730,Zm00008a021737,Zm00008a021734,Zm00008a021746,Zm00008a021745,Zm00008a021742,Zm00008a021740,Zm00008a021743,Zm00008a021741,Zm00008a021735
Nonsyntenic_Dup_0484	NA	Cluster_0796	Zm00001d016419	Zm00008a021724,Zm00008a021726,Zm00008a021727,Zm00008a021723,Zm00008a021728,Zm00008a021729,Zm00008a021731,Zm00008a021730,Zm00008a021737,Zm00008a021734,Zm00008a021746,Zm00008a021745,Zm00008a021742,Zm00008a021740,Zm00008a021743,Zm00008a021741,Zm00008a021735
Nonsyntenic_Dup_0485	NA	Cluster_0796	Zm00001d016432	Zm00008a021724,Zm00008a021726,Zm00008a021727,Zm00008a021723,Zm00008a021728,Zm00008a021729,Zm00008a021731,Zm00008a021730,Zm00008a021737,Zm00008a021734,Zm00008a021746,Zm00008a021745,Zm00008a021742,Zm00008a021740,Zm00008a021743,Zm00008a021741,Zm00008a021735
Nonsyntenic_Dup_0486	Cluster_0467	Cluster_0798	Zm00001d016476,Zm00001d016477	Zm00008a021780,Zm00008a021779
Nonsyntenic_Dup_0487	NA	Cluster_0799	Zm00001d016565	Zm00008a021840,Zm00008a021841
Nonsyntenic_Dup_0488	Cluster_0468	Cluster_0800	Zm00001d016567,Zm00001d016568	Zm00008a021843,Zm00008a021844
Nonsyntenic_Dup_0489	Cluster_0469	NA	Zm00001d016613,Zm00001d016607	Zm00008a021871
Nonsyntenic_Dup_0490	Cluster_0470	Cluster_0801	Zm00001d016649,Zm00001d016648	Zm00008a021892,Zm00008a021891
Nonsyntenic_Dup_0491	Cluster_0471	NA	Zm00001d016661,Zm00001d016660	Zm00008a021900
Nonsyntenic_Dup_0492	Cluster_0473	Cluster_0802	Zm00001d016738,Zm00001d016740,Zm00001d016741	Zm00008a021949,Zm00008a021951,Zm00008a021950
Nonsyntenic_Dup_0493	Cluster_0474	NA	Zm00001d016777,Zm00001d016782,Zm00001d016773	Zm00008a021991
Nonsyntenic_Dup_0494	Cluster_0475	Cluster_0804	Zm00001d016841,Zm00001d016842,Zm00001d016844	Zm00008a022043,Zm00008a022042,Zm00008a022044
Nonsyntenic_Dup_0495	Cluster_0476	Cluster_0806	Zm00001d016870,Zm00001d016871,Zm00001d016868,Zm00001d016867	Zm00008a022073,Zm00008a022070,Zm00008a022071
Nonsyntenic_Dup_0496	Cluster_0478	NA	Zm00001d016885,Zm00001d016884	Zm00008a022080
Nonsyntenic_Dup_0497	Cluster_0479	NA	Zm00001d016900,Zm00001d016899	Zm00008a022093
Nonsyntenic_Dup_0498	NA	Cluster_0807	Zm00001d016910	Zm00008a022102,Zm00008a022089
Nonsyntenic_Dup_0499	Cluster_0480	NA	Zm00001d016939,Zm00001d016940	Zm00008a022123
Nonsyntenic_Dup_0500	Cluster_0481	NA	Zm00001d016946,Zm00001d016947,Zm00001d016948,Zm00001d016949	Zm00008a022129
Nonsyntenic_Dup_0501	Cluster_0482	NA	Zm00001d017008,Zm00001d017009,Zm00001d017001,Zm00001d017019,Zm00001d017014	Zm00008a022162
Nonsyntenic_Dup_0502	Cluster_0482	Cluster_0810	Zm00001d017008,Zm00001d017009,Zm00001d017001,Zm00001d017019,Zm00001d017014	Zm00008a022165,Zm00008a022164,Zm00008a022163
Nonsyntenic_Dup_0503	Cluster_0483	NA	Zm00001d017021,Zm00001d017022	Zm00008a022168
Nonsyntenic_Dup_0504	Cluster_0484	NA	Zm00001d017033,Zm00001d017032,Zm00001d017031	Zm00008a022175
Nonsyntenic_Dup_0505	Cluster_0485	Cluster_0811	Zm00001d017043,Zm00001d017045	Zm00008a022189,Zm00008a022187
Nonsyntenic_Dup_0506	Cluster_0488	NA	Zm00001d017190,Zm00001d017191,Zm00001d017192,Zm00001d017188,Zm00001d017189	Zm00008a022297
Nonsyntenic_Dup_0507	Cluster_0488	Cluster_0813	Zm00001d017190,Zm00001d017191,Zm00001d017192,Zm00001d017188,Zm00001d017189	Zm00008a022299,Zm00008a022300
Nonsyntenic_Dup_0508	Cluster_0489	Cluster_0814	Zm00001d017222,Zm00001d017234,Zm00001d017237,Zm00001d017236,Zm00001d017238	Zm00008a022326,Zm00008a022333,Zm00008a022336,Zm00008a022337,Zm00008a022335,Zm00008a022329,Zm00008a022327,Zm00008a022332
Nonsyntenic_Dup_0509	Cluster_0491	Cluster_0815	Zm00001d017279,Zm00001d017275,Zm00001d017274,Zm00001d017276	Zm00008a022367,Zm00008a022369,Zm00008a022372,Zm00008a022370
Nonsyntenic_Dup_0510	Cluster_0493	Cluster_0816	Zm00001d017329,Zm00001d017326	Zm00008a022406,Zm00008a022404
Nonsyntenic_Dup_0511	Cluster_0494	NA	Zm00001d017334,Zm00001d017335	Zm00008a022412
Nonsyntenic_Dup_0512	Cluster_0495	Cluster_0818	Zm00001d017336,Zm00001d017340	Zm00008a022413,Zm00008a022416,Zm00008a022414
Nonsyntenic_Dup_0513	Cluster_0496	Cluster_0819	Zm00001d017385,Zm00001d017383	Zm00008a022442,Zm00008a022444
Nonsyntenic_Dup_0514	Cluster_0497	Cluster_0820	Zm00001d017427,Zm00001d017429	Zm00008a022482,Zm00008a022484
Nonsyntenic_Dup_0515	Cluster_0497	NA	Zm00001d017427,Zm00001d017429	Zm00008a022483
Nonsyntenic_Dup_0516	Cluster_0498	NA	Zm00001d017459,Zm00001d017458	Zm00008a022503
Nonsyntenic_Dup_0517	Cluster_0500	Cluster_0821	Zm00001d017478,Zm00001d017477,Zm00001d017480	Zm00008a022521,Zm00008a022520,Zm00008a022505,Zm00008a022506,Zm00008a022508,Zm00008a022525
Nonsyntenic_Dup_0518	Cluster_0501	NA	Zm00001d017493,Zm00001d017495,Zm00001d017494	Zm00008a022533
Nonsyntenic_Dup_0519	Cluster_0502	Cluster_0823	Zm00001d017500,Zm00001d017499	Zm00008a022536,Zm00008a022538
Nonsyntenic_Dup_0520	NA	Cluster_0824	Zm00001d017505	Zm00008a022545,Zm00008a022546
Nonsyntenic_Dup_0521	NA	Cluster_0824	Zm00001d017507	Zm00008a022545,Zm00008a022546
Nonsyntenic_Dup_0522	Cluster_0503	NA	Zm00001d017510,Zm00001d017508	Zm00008a022547
Nonsyntenic_Dup_0523	Cluster_0505	Cluster_0826	Zm00001d017570,Zm00001d017571	Zm00008a022601,Zm00008a022602
Nonsyntenic_Dup_0524	Cluster_0506	NA	Zm00001d017591,Zm00001d017592	Zm00008a022622
Nonsyntenic_Dup_0525	Cluster_0508	Cluster_0831	Zm00001d017648,Zm00001d017646,Zm00001d017647	Zm00008a022667,Zm00008a022665,Zm00008a022666
Nonsyntenic_Dup_0526	Cluster_0509	NA	Zm00001d017713,Zm00001d017714	Zm00008a022716
Nonsyntenic_Dup_0527	Cluster_0510	NA	Zm00001d017741,Zm00001d017740,Zm00001d017734,Zm00001d017735,Zm00001d017736,Zm00001d017737,Zm00001d017731,Zm00001d017732,Zm00001d017733	Zm00008a022740
Nonsyntenic_Dup_0528	Cluster_0510	Cluster_0832	Zm00001d017741,Zm00001d017740,Zm00001d017734,Zm00001d017735,Zm00001d017736,Zm00001d017737,Zm00001d017731,Zm00001d017732,Zm00001d017733	Zm00008a022741,Zm00008a022738,Zm00008a022739
Nonsyntenic_Dup_0529	Cluster_0511	NA	Zm00001d017776,Zm00001d017777	Zm00008a022764
Nonsyntenic_Dup_0530	Cluster_0512	NA	Zm00001d017787,Zm00001d017786	Zm00008a022775
Nonsyntenic_Dup_0531	Cluster_0514	Cluster_0834	Zm00001d017841,Zm00001d017840	Zm00008a022821,Zm00008a022820
Nonsyntenic_Dup_0532	NA	Cluster_0835	Zm00001d017855	Zm00008a022833,Zm00008a022832
Nonsyntenic_Dup_0533	Cluster_0515	NA	Zm00001d017864,Zm00001d017866,Zm00001d017867,Zm00001d017869	Zm00008a022838
Nonsyntenic_Dup_0534	Cluster_0515	Cluster_0836	Zm00001d017864,Zm00001d017866,Zm00001d017867,Zm00001d017869	Zm00008a022843,Zm00008a022839
Nonsyntenic_Dup_0535	Cluster_0516	NA	Zm00001d017868,Zm00001d017865	Zm00008a022840
Nonsyntenic_Dup_0536	NA	Cluster_0837	Zm00001d017918	Zm00008a022900,Zm00008a022899,Zm00008a022898
Nonsyntenic_Dup_0537	Cluster_0517	NA	Zm00001d017952,Zm00001d017953	Zm00008a022912
Nonsyntenic_Dup_0538	Cluster_0518	Cluster_0838	Zm00001d017973,Zm00001d017974,Zm00001d017975	Zm00008a022927,Zm00008a022926
Nonsyntenic_Dup_0539	NA	Cluster_0839	Zm00001d018009	Zm00008a022956,Zm00008a022958
Nonsyntenic_Dup_0540	NA	Cluster_0839	Zm00001d018014	Zm00008a022956,Zm00008a022958
Nonsyntenic_Dup_0541	NA	Cluster_0840	Zm00001d018051	Zm00008a022992,Zm00008a022993
Nonsyntenic_Dup_0542	Cluster_0520	NA	Zm00001d018065,Zm00001d018066	Zm00008a023006
Nonsyntenic_Dup_0543	Cluster_0521	Cluster_0841	Zm00001d018106,Zm00001d018107,Zm00001d018105	Zm00008a023043,Zm00008a023042
Nonsyntenic_Dup_0544	Cluster_0522	NA	Zm00001d018124,Zm00001d018123	Zm00008a023051
Nonsyntenic_Dup_0545	Cluster_0523	NA	Zm00001d018156,Zm00001d018155	Zm00008a023081
Nonsyntenic_Dup_0546	Cluster_0524	Cluster_0844	Zm00001d018181,Zm00001d018184	Zm00008a023101,Zm00008a023098
Nonsyntenic_Dup_0547	Cluster_0526	Cluster_0846	Zm00001d018183,Zm00001d018187	Zm00008a023103,Zm00008a023100
Nonsyntenic_Dup_0548	Cluster_0525	Cluster_0845	Zm00001d018182,Zm00001d018185	Zm00008a023099,Zm00008a023102
Nonsyntenic_Dup_0549	Cluster_0527	NA	Zm00001d018254,Zm00001d018251,Zm00001d018253	Zm00008a023155
Nonsyntenic_Dup_0550	NA	Cluster_0847	Zm00001d018270	Zm00008a023166,Zm00008a023168
Nonsyntenic_Dup_0551	Cluster_0529	Cluster_0849	Zm00001d018324,Zm00001d018322,Zm00001d018323,Zm00001d018321	Zm00008a023204,Zm00008a023202
Nonsyntenic_Dup_0552	Cluster_0529	NA	Zm00001d018324,Zm00001d018322,Zm00001d018323,Zm00001d018321	Zm00008a023203
Nonsyntenic_Dup_0553	Cluster_0530	NA	Zm00001d018329,Zm00001d018332	Zm00008a023208
Nonsyntenic_Dup_0554	Cluster_0530	NA	Zm00001d018329,Zm00001d018332	Zm00008a023209
Nonsyntenic_Dup_0555	Cluster_0531	NA	Zm00001d018336,Zm00001d018340	Zm00008a023214
Nonsyntenic_Dup_0556	Cluster_0532	Cluster_0850	Zm00001d018452,Zm00001d018451	Zm00008a023317,Zm00008a023316
Nonsyntenic_Dup_0557	Cluster_0533	NA	Zm00001d018506,Zm00001d018505	Zm00008a023361
Nonsyntenic_Dup_0558	Cluster_0534	Cluster_0978	Zm00001d018614,Zm00001d018615	Zm00008a026639,Zm00008a026638
Nonsyntenic_Dup_0559	Cluster_0535	NA	Zm00001d018620,Zm00001d018618,Zm00001d018619	Zm00008a026633
Nonsyntenic_Dup_0560	Cluster_0536	Cluster_0979	Zm00001d018629,Zm00001d018628,Zm00001d018630,Zm00001d018631	Zm00008a026651,Zm00008a026652,Zm00008a026650,Zm00008a026653
Nonsyntenic_Dup_0561	Cluster_0537	NA	Zm00001d018632,Zm00001d018633	Zm00008a026654
Nonsyntenic_Dup_0562	Cluster_0538	Cluster_0980	Zm00001d018652,Zm00001d018650,Zm00001d018649,Zm00001d018648	Zm00008a026669,Zm00008a026670,Zm00008a026666,Zm00008a026668
Nonsyntenic_Dup_0563	Cluster_0539	NA	Zm00001d018670,Zm00001d018673	Zm00008a026687
Nonsyntenic_Dup_0564	Cluster_0540	Cluster_0982	Zm00001d018692,Zm00001d018690,Zm00001d018691,Zm00001d018685,Zm00001d018687,Zm00001d018686,Zm00001d018681,Zm00001d018680	Zm00008a026710,Zm00008a026695,Zm00008a026694,Zm00008a026705,Zm00008a026704,Zm00008a026708
Nonsyntenic_Dup_0565	Cluster_0541	Cluster_0983	Zm00001d018683,Zm00001d018682	Zm00008a026697,Zm00008a026699,Zm00008a026698
Nonsyntenic_Dup_0566	Cluster_0542	Cluster_0985	Zm00001d018700,Zm00001d018701	Zm00008a026730,Zm00008a026718,Zm00008a026719
Nonsyntenic_Dup_0567	Cluster_0543	Cluster_0981	Zm00001d018705,Zm00001d018703	Zm00008a026688,Zm00008a026728,Zm00008a026721,Zm00008a026707
Nonsyntenic_Dup_0568	Cluster_0544	NA	Zm00001d018708,Zm00001d018709	Zm00008a026724
Nonsyntenic_Dup_0569	Cluster_0545	NA	Zm00001d018711,Zm00001d018710	Zm00008a026726
Nonsyntenic_Dup_0570	NA	Cluster_0981	Zm00001d018714	Zm00008a026688,Zm00008a026728,Zm00008a026721,Zm00008a026707
Nonsyntenic_Dup_0571	Cluster_0546	Cluster_0987	Zm00001d018738,Zm00001d018734,Zm00001d018737	Zm00008a026742,Zm00008a026743
Nonsyntenic_Dup_0572	Cluster_0547	Cluster_0988	Zm00001d018766,Zm00001d018764,Zm00001d018762,Zm00001d018760,Zm00001d018759	Zm00008a026763,Zm00008a026770,Zm00008a026767,Zm00008a026769,Zm00008a026768,Zm00008a026766
Nonsyntenic_Dup_0573	Cluster_0548	NA	Zm00001d018765,Zm00001d018763,Zm00001d018761	Zm00008a026765
Nonsyntenic_Dup_0574	Cluster_0549	Cluster_0989	Zm00001d018830,Zm00001d018837	Zm00008a026827,Zm00008a026833
Nonsyntenic_Dup_0575	Cluster_0550	Cluster_0990	Zm00001d018845,Zm00001d018844	Zm00008a026839,Zm00008a026838
Nonsyntenic_Dup_0576	Cluster_0551	Cluster_0991	Zm00001d018847,Zm00001d018846	Zm00008a026841,Zm00008a026842
Nonsyntenic_Dup_0577	Cluster_0552	Cluster_0992	Zm00001d018853,Zm00001d018854,Zm00001d018855,Zm00001d018857,Zm00001d018848	Zm00008a026852,Zm00008a026843,Zm00008a026844,Zm00008a026845
Nonsyntenic_Dup_0578	Cluster_0553	Cluster_0993	Zm00001d018874,Zm00001d018876,Zm00001d018877,Zm00001d018879,Zm00001d018880	Zm00008a026866,Zm00008a026867,Zm00008a026868,Zm00008a026869,Zm00008a026870
Nonsyntenic_Dup_0579	Cluster_0554	NA	Zm00001d018918,Zm00001d018924	Zm00008a026906
Nonsyntenic_Dup_0580	Cluster_0555	NA	Zm00001d018965,Zm00001d018966	Zm00008a026942
Nonsyntenic_Dup_0581	Cluster_0556	Cluster_0995	Zm00001d018977,Zm00001d018976	Zm00008a026951,Zm00008a026949
Nonsyntenic_Dup_0582	Cluster_0557	Cluster_0997	Zm00001d018989,Zm00001d018990,Zm00001d018995,Zm00001d018994,Zm00001d019000,Zm00001d019001,Zm00001d018998	Zm00008a026971,Zm00008a026972,Zm00008a026967,Zm00008a026969
Nonsyntenic_Dup_0583	Cluster_0560	NA	Zm00001d019043,Zm00001d019044	Zm00008a026987
Nonsyntenic_Dup_0584	Cluster_0562	NA	Zm00001d019066,Zm00001d019064,Zm00001d019065	Zm00008a027007
Nonsyntenic_Dup_0585	Cluster_0562	Cluster_1000	Zm00001d019066,Zm00001d019064,Zm00001d019065	Zm00008a027006,Zm00008a027005,Zm00008a027008
Nonsyntenic_Dup_0586	Cluster_0563	Cluster_1001	Zm00001d019084,Zm00001d019086,Zm00001d019079	Zm00008a027025,Zm00008a027024,Zm00008a027020
Nonsyntenic_Dup_0587	Cluster_0564	Cluster_1002	Zm00001d019098,Zm00001d019096	Zm00008a027038,Zm00008a027037
Nonsyntenic_Dup_0588	Cluster_0565	NA	Zm00001d019122,Zm00001d019120	Zm00008a027052
Nonsyntenic_Dup_0589	Cluster_0566	NA	Zm00001d019155,Zm00001d019162,Zm00001d019160	Zm00008a027078
Nonsyntenic_Dup_0590	Cluster_0567	Cluster_1004	Zm00001d019213,Zm00001d019214	Zm00008a027115,Zm00008a027114
Nonsyntenic_Dup_0591	NA	Cluster_1005	Zm00001d019227	Zm00008a027130,Zm00008a027129
Nonsyntenic_Dup_0592	NA	Cluster_1005	Zm00001d019228	Zm00008a027130,Zm00008a027129
Nonsyntenic_Dup_0593	NA	Cluster_1007	Zm00001d019243	Zm00008a027143,Zm00008a027144
Nonsyntenic_Dup_0594	Cluster_0568	Cluster_1007	Zm00001d019246,Zm00001d019247	Zm00008a027143,Zm00008a027144
Nonsyntenic_Dup_0595	Cluster_0569	Cluster_0412	Zm00001d019251,Zm00001d019250	Zm00008a010373,Zm00008a010371,Zm00008a010370
Nonsyntenic_Dup_0596	Cluster_0569	Cluster_1008	Zm00001d019251,Zm00001d019250	Zm00008a027146,Zm00008a027147,Zm00008a027151
Nonsyntenic_Dup_0597	Cluster_0570	Cluster_1008	Zm00001d019259,Zm00001d019258,Zm00001d019254,Zm00001d019256,Zm00001d019265	Zm00008a027146,Zm00008a027147,Zm00008a027151
Nonsyntenic_Dup_0598	Cluster_0571	Cluster_1009	Zm00001d019271,Zm00001d019270,Zm00001d019274	Zm00008a027155,Zm00008a027159
Nonsyntenic_Dup_0599	Cluster_0573	Cluster_1011	Zm00001d019291,Zm00001d019290	Zm00008a027168,Zm00008a027169
Nonsyntenic_Dup_0600	Cluster_0574	Cluster_1012	Zm00001d019302,Zm00001d019300	Zm00008a027177,Zm00008a027175
Nonsyntenic_Dup_0601	Cluster_0577	Cluster_1015	Zm00001d019334,Zm00001d019333	Zm00008a027197,Zm00008a027198
Nonsyntenic_Dup_0602	Cluster_0578	Cluster_1016	Zm00001d019373,Zm00001d019374	Zm00008a027231,Zm00008a027232,Zm00008a027235,Zm00008a027243
Nonsyntenic_Dup_0603	Cluster_0579	Cluster_1016	Zm00001d019394,Zm00001d019385,Zm00001d019380	Zm00008a027231,Zm00008a027232,Zm00008a027235,Zm00008a027243
Nonsyntenic_Dup_0604	Cluster_0580	Cluster_1017	Zm00001d019400,Zm00001d019399	Zm00008a027258,Zm00008a027257
Nonsyntenic_Dup_0605	Cluster_0581	NA	Zm00001d019405,Zm00001d019406,Zm00001d019407	Zm00008a027260
Nonsyntenic_Dup_0606	Cluster_0582	Cluster_1018	Zm00001d019413,Zm00001d019411	Zm00008a027264,Zm00008a027262
Nonsyntenic_Dup_0607	Cluster_0582	NA	Zm00001d019413,Zm00001d019411	Zm00008a027263
Nonsyntenic_Dup_0608	Cluster_0583	NA	Zm00001d019550,Zm00001d019549	Zm00008a027372
Nonsyntenic_Dup_0609	Cluster_0584	Cluster_1019	Zm00001d019557,Zm00001d019560	Zm00008a027379,Zm00008a027380
Nonsyntenic_Dup_0610	Cluster_0585	Cluster_1020	Zm00001d019565,Zm00001d019563	Zm00008a027384,Zm00008a027385
Nonsyntenic_Dup_0611	NA	Cluster_1022	Zm00001d019599	Zm00008a027413,Zm00008a027412
Nonsyntenic_Dup_0612	NA	Cluster_1023	Zm00001d019674	Zm00008a027451,Zm00008a027452
Nonsyntenic_Dup_0613	Cluster_0586	NA	Zm00001d019678,Zm00001d019680	Zm00008a027456
Nonsyntenic_Dup_0614	Cluster_0588	Cluster_1024	Zm00001d019725,Zm00001d019726	Zm00008a027488,Zm00008a027486
Nonsyntenic_Dup_0615	Cluster_0589	Cluster_1025	Zm00001d019734,Zm00001d019744	Zm00008a027493,Zm00008a027496
Nonsyntenic_Dup_0616	Cluster_0591	Cluster_1026	Zm00001d019761,Zm00001d019762	Zm00008a027536,Zm00008a027535
Nonsyntenic_Dup_0617	Cluster_0592	NA	Zm00001d019863,Zm00001d019854	Zm00008a027572
Nonsyntenic_Dup_0618	Cluster_0593	NA	Zm00001d019951,Zm00001d019961	Zm00008a027628
